Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2018.09.04 01:01:10;Balance;;;;;;;;;;-6.15;
2018.09.03 23:00:40;Balance;;;;;;;;;;374.00;
2018.09.03 15:00:30;Balance;;;;;;;;;;100.00;
2018.09.03 12:01:08;Balance;;;;;;;;;;-509.40;
2018.08.31 18:41:48;Buy;0.06;EURCHF;1.12533;;1.12683;2018.09.03 11:08:53;1.12648;-0.22;0.03;7.11;
2018.09.03 10:00:42;Balance;;;;;;;;;;-10.03;
2018.09.03 00:22:49;Buy;0.10;GBPAUD;1.79796;;1.80096;2018.09.03 04:30:18;1.80100;-0.41;;21.80;[tp]
2018.09.03 01:01:51;Balance;;;;;;;;;;-187.23;
2018.08.31 23:00:31;Balance;;;;;;;;;;-2001.92;
2018.08.31 22:30:08;Sell;0.16;EURCAD;1.51722;;1.51572;2018.08.31 22:33:57;1.51572;-0.59;;18.37;[tp]
2018.08.31 22:00:33;Buy;0.17;GBPCAD;1.69045;;1.69195;2018.08.31 22:11:29;1.69106;-0.70;;7.95;
2018.08.31 22:00:36;Balance;;;;;;;;;;10.00;
2018.08.31 21:52:59;Buy;0.17;GBPCAD;1.68990;;1.69140;2018.08.31 21:55:53;1.69065;-0.71;;9.77;
2018.08.31 21:00:32;Balance;;;;;;;;;;1990.00;
2018.08.31 10:42:43;Sell;0.08;NZDCAD;0.86618;;0.86255;2018.08.31 14:07:09;0.86306;-0.17;;19.19;
2018.08.31 00:45:12;Sell;0.08;NZDCAD;0.86431;;0.86255;2018.08.31 14:07:09;0.86306;-0.17;;7.69;
2018.08.31 12:00:43;Balance;;;;;;;;;;-41.11;
2018.08.31 01:00:54;Balance;;;;;;;;;;-0.70;
2018.08.30 21:18:19;Sell;0.15;EURCAD;1.51478;;1.51328;2018.08.30 23:21:01;1.51416;-0.56;;7.17;
2018.08.30 22:00:34;Balance;;;;;;;;;;51.00;
2018.08.30 20:00:49;Balance;;;;;;;;;;-150.01;
2018.08.30 14:00:49;Balance;;;;;;;;;;-26.12;
2018.08.30 07:00:35;Balance;;;;;;;;;;50.00;
2018.08.29 14:02:58;Sell;0.12;USDSGD;1.36691;;1.36386;2018.08.30 02:41:43;1.36455;-0.38;-0.70;20.75;
2018.08.29 08:57:58;Sell;0.06;USDSGD;1.36542;;1.36386;2018.08.30 02:41:43;1.36455;-0.19;-0.35;3.83;
2018.08.28 22:06:38;Sell;0.06;USDSGD;1.36388;;1.36386;2018.08.30 02:41:43;1.36455;-0.19;-0.47;-2.95;
2018.08.30 01:00:48;Balance;;;;;;;;;;99.72;
2018.08.29 23:00:30;Balance;;;;;;;;;;-50.15;
2018.08.29 11:00:30;Balance;;;;;;;;;;50.00;
2018.08.29 01:00:41;Balance;;;;;;;;;;-4.22;
2018.08.28 07:00:33;Balance;;;;;;;;;;-106.56;
2018.08.28 01:01:18;Balance;;;;;;;;;;-46.05;
2018.08.27 23:00:40;Balance;;;;;;;;;;330.00;
2018.08.27 20:00:35;Balance;;;;;;;;;;50.00;
2018.08.27 17:00:34;Balance;;;;;;;;;;200.00;
2018.08.27 02:55:38;Sell;0.06;EURCHF;1.14386;;1.14184;2018.08.27 09:34:45;1.14212;-0.22;;10.61;
2018.08.24 18:00:10;Sell;0.06;EURCHF;1.14266;;1.14184;2018.08.27 09:34:45;1.14213;-0.22;-0.13;3.23;
2018.08.27 03:00:22;Balance;;;;;;;;;;50.00;
2018.08.27 01:01:38;Balance;;;;;;;;;;294.14;
2018.08.24 20:00:01;Buy;0.16;GBPCAD;1.67329;;1.67479;2018.08.24 20:27:56;1.67389;-0.66;;7.38;
2018.08.23 03:33:15;Buy;0.12;AUDNZD;1.09313;;1.09722;2018.08.24 17:01:08;1.09725;-0.28;-0.07;32.98;[tp]
2018.08.22 01:45:12;Buy;0.12;AUDNZD;1.09730;;1.09722;2018.08.24 17:01:08;1.09725;-0.28;-0.49;-0.40;[tp]
2018.08.23 04:44:26;Sell;0.05;USDSGD;1.36955;;1.36948;2018.08.24 13:07:20;1.37025;-0.16;-0.14;-2.55;
2018.08.23 03:25:53;Sell;0.05;USDSGD;1.36805;;1.36948;2018.08.24 13:07:20;1.37024;-0.16;-0.14;-7.99;
2018.08.23 20:06:36;Sell;0.13;USDSGD;1.37337;;1.36948;2018.08.24 13:07:19;1.37023;-0.42;-0.36;29.79;
2018.08.23 05:43:05;Sell;0.10;USDSGD;1.37131;;1.36948;2018.08.24 13:07:19;1.37021;-0.32;-0.28;8.03;
2018.08.24 11:00:36;Balance;;;;;;;;;;-50.25;
2018.08.24 01:00:41;Balance;;;;;;;;;;-1.44;
2018.08.23 09:00:28;Balance;;;;;;;;;;-51.13;
2018.08.22 01:45:38;Sell;0.12;NZDUSD;0.67128;;0.66726;2018.08.23 04:51:05;0.66726;-0.26;-0.20;48.24;[tp]
2018.08.21 19:56:17;Sell;0.06;NZDUSD;0.66888;;0.66726;2018.08.23 04:51:05;0.66726;-0.13;-0.15;9.72;[tp]
2018.08.21 07:44:35;Sell;0.04;NZDUSD;0.66655;;0.66726;2018.08.23 04:51:05;0.66726;-0.09;-0.11;-2.84;[tp]
2018.08.17 21:45:07;Sell;0.04;NZDUSD;0.66284;;0.66726;2018.08.23 04:51:05;0.66726;-0.08;-0.17;-17.68;[tp]
2018.08.23 01:00:55;Balance;;;;;;;;;;-0.70;
2018.08.22 21:33:38;Buy;0.15;EURCAD;1.50690;;1.50840;2018.08.22 23:37:27;1.50751;-0.56;;7.04;
2018.08.21 21:00:15;Sell;0.16;GBPCAD;1.68093;;1.67943;2018.08.22 05:32:17;1.68039;-0.66;0.17;6.64;
2018.08.21 18:29:20;Sell;0.06;EURCHF;1.13861;;1.13863;2018.08.22 04:50:25;1.13893;-0.22;-0.13;-1.95;
2018.08.21 20:49:37;Sell;0.06;EURCHF;1.14150;;1.13863;2018.08.22 04:50:24;1.13898;-0.22;-0.13;15.37;
2018.08.22 01:00:43;Balance;;;;;;;;;;-59.41;
2018.08.21 23:00:36;Balance;;;;;;;;;;-51.39;
2018.08.21 19:00:37;Balance;;;;;;;;;;-10.02;
2018.08.21 18:00:05;Sell;0.06;EURCHF;1.13872;;1.13722;2018.08.21 18:15:39;1.13759;-0.22;;6.86;
2018.08.21 17:00:35;Balance;;;;;;;;;;300.00;
2018.08.20 23:00:00;Buy;0.09;GBPAUD;1.74332;;1.74632;2018.08.21 15:23:07;1.74632;-0.37;-0.53;19.82;[tp]
2018.08.21 04:00:46;Buy;0.05;USDSGD;1.36750;;1.36950;2018.08.21 15:16:52;1.36870;-0.16;;4.38;
2018.08.20 23:18:58;Sell;0.12;AUDNZD;1.10564;;1.10261;2018.08.21 09:27:35;1.10261;-0.28;0.01;24.26;[tp]
2018.08.17 22:48:14;Sell;0.12;AUDNZD;1.10358;;1.10261;2018.08.21 09:27:35;1.10261;-0.28;-0.03;7.76;[tp]
2018.08.21 09:00:34;Balance;;;;;;;;;;50.00;
2018.08.21 06:00:26;Balance;;;;;;;;;;-381.13;
2018.08.20 19:30:06;Sell;0.06;EURCHF;1.13847;;1.13697;2018.08.21 03:23:03;1.13734;-0.22;-0.13;6.85;
2018.08.21 01:00:56;Balance;;;;;;;;;;-0.55;
2018.08.20 21:00:27;Balance;;;;;;;;;;381.00;
2018.08.20 13:00:34;Balance;;;;;;;;;;156.00;
2018.08.20 10:00:34;Balance;;;;;;;;;;48.00;
2018.08.20 02:16:42;Sell;0.06;EURCHF;1.13846;;1.13612;2018.08.20 06:00:41;1.13647;-0.22;;12.00;
2018.08.17 21:30:45;Sell;0.06;EURCHF;1.13663;;1.13612;2018.08.20 06:00:41;1.13648;-0.22;-0.11;0.90;
2018.08.20 01:01:49;Balance;;;;;;;;;;-2.32;
2018.08.17 18:00:32;Balance;;;;;;;;;;1037.00;
2018.08.17 14:00:32;Balance;;;;;;;;;;445.00;
2018.08.17 11:00:37;Balance;;;;;;;;;;-207.47;
2018.08.16 23:45:14;Sell;0.14;EURCAD;1.49746;;1.49596;2018.08.17 01:45:16;1.49684;-0.51;0.64;6.59;
2018.08.17 01:00:52;Balance;;;;;;;;;;-1.55;
2018.08.16 18:11:36;Sell;0.06;EURCHF;1.13351;;1.13201;2018.08.16 19:41:20;1.13237;-0.22;;6.87;
2018.08.14 20:07:03;Buy;0.04;NZDUSD;0.65719;;0.65995;2018.08.16 16:24:11;0.65996;-0.08;-0.10;11.08;[tp]
2018.08.16 15:00:30;Balance;;;;;;;;;;-312.85;
2018.08.16 14:00:32;Balance;;;;;;;;;;50.00;
2018.08.16 12:00:42;Balance;;;;;;;;;;-10.02;
2018.08.16 11:00:38;Balance;;;;;;;;;;100.00;
2018.08.16 03:00:22;Balance;;;;;;;;;;-1003.07;
2018.08.15 19:31:50;Sell;0.06;EURCHF;1.12785;;1.12635;2018.08.16 02:49:06;1.12672;-0.22;-0.44;6.83;
2018.08.16 01:00:37;Balance;;;;;;;;;;1002.26;
2018.08.14 20:00:08;Buy;0.15;GBPCAD;1.66605;;1.66755;2018.08.15 17:20:35;1.66664;-0.61;-0.57;6.74;
2018.08.15 14:00:34;Balance;;;;;;;;;;90.00;
2018.08.14 19:00:10;Buy;0.06;EURCHF;1.12714;;1.12864;2018.08.15 03:51:15;1.12827;-0.22;0.03;6.81;
2018.08.15 01:00:43;Balance;;;;;;;;;;-0.30;
2018.08.14 17:00:43;Balance;;;;;;;;;;160.00;
2018.08.14 13:00:52;Balance;;;;;;;;;;50.00;
2018.08.14 12:01:02;Balance;;;;;;;;;;12.00;
2018.08.14 10:00:48;Balance;;;;;;;;;;50.00;
2018.08.10 20:50:00;Buy;0.04;NZDUSD;0.65784;;0.66054;2018.08.14 06:04:35;0.66054;-0.08;0.02;10.80;[tp]
2018.08.13 22:04:52;Buy;0.06;EURCHF;1.13187;;1.13420;2018.08.14 04:15:48;1.13385;-0.22;0.03;11.96;
2018.08.13 18:30:07;Buy;0.06;EURCHF;1.13368;;1.13420;2018.08.14 04:15:48;1.13385;-0.22;0.03;1.03;
2018.08.14 01:00:51;Balance;;;;;;;;;;49.19;
2018.08.13 18:00:48;Balance;;;;;;;;;;-400.60;
2018.08.13 15:00:37;Balance;;;;;;;;;;200.00;
2018.08.13 02:15:06;Sell;0.06;EURCHF;1.13344;;1.13194;2018.08.13 03:59:43;1.13192;-0.22;;9.17;[tp]
2018.08.13 00:54:45;Sell;0.15;GBPCAD;1.67815;;1.67665;2018.08.13 03:18:21;1.67753;-0.61;;7.07;
2018.08.13 01:01:25;Balance;;;;;;;;;;1412.38;
2018.08.10 20:45:06;Sell;0.15;GBPCAD;1.67636;;1.67486;2018.08.10 22:20:44;1.67575;-0.61;;6.97;
2018.08.10 19:00:54;Balance;;;;;;;;;;-51.49;
2018.08.10 15:00:46;Balance;;;;;;;;;;150.00;
2018.08.10 08:14:06;Buy;0.36;EURCAD;1.49887;;1.49978;2018.08.10 08:39:55;1.49962;-1.32;;20.64;
2018.08.10 08:09:36;Buy;0.14;EURCAD;1.50151;;1.49978;2018.08.10 08:39:55;1.49962;-0.51;;-20.23;
2018.08.09 22:24:23;Buy;0.14;EURCAD;1.50439;;1.49978;2018.08.10 08:39:55;1.49962;-0.52;-1.01;-51.05;
2018.08.09 21:30:03;Buy;0.14;EURCAD;1.50673;;1.49978;2018.08.10 08:39:55;1.49962;-0.52;-1.01;-76.09;
2018.08.10 08:17:16;Buy;0.57;EURCAD;1.49639;;1.49978;2018.08.10 08:39:54;1.49961;-2.09;;140.30;
2018.08.09 09:30:42;Sell;0.30;AUDNZD;1.11624;;1.11197;2018.08.10 08:26:39;1.11197;-0.71;0.01;84.37;[tp]
2018.08.09 04:01:48;Sell;0.12;AUDNZD;1.11313;;1.11197;2018.08.10 08:26:39;1.11197;-0.29;0.01;9.17;[tp]
2018.08.09 00:15:10;Sell;0.12;AUDNZD;1.10689;;1.11197;2018.08.10 08:26:39;1.11197;-0.29;0.01;-40.15;[tp]
2018.08.10 06:00:30;Balance;;;;;;;;;;-20.00;
2018.08.10 05:00:28;Balance;;;;;;;;;;22.00;
2018.08.10 01:00:52;Balance;;;;;;;;;;-0.16;
2018.08.09 23:00:33;Balance;;;;;;;;;;100.00;
2018.08.09 15:00:32;Balance;;;;;;;;;;10.00;
2018.08.09 10:30:42;Buy;0.15;GBPCAD;1.67325;;1.67715;2018.08.09 12:10:44;1.67637;-0.62;;35.96;
2018.08.08 20:45:11;Buy;0.15;GBPCAD;1.67834;;1.67715;2018.08.09 12:10:44;1.67638;-0.62;-1.48;-22.59;
2018.08.09 11:00:29;Balance;;;;;;;;;;-270.94;
2018.08.09 01:00:49;Balance;;;;;;;;;;-0.89;
2018.08.08 21:13:20;Sell;0.04;NZDUSD;0.67574;;0.67379;2018.08.09 00:05:59;0.67234;-0.09;-0.08;13.60;[tp]
2018.08.08 17:00:42;Balance;;;;;;;;;;50.00;
2018.08.07 20:07:45;Sell;0.15;GBPCAD;1.68753;;1.68603;2018.08.08 12:28:10;1.68697;-0.62;0.15;6.42;
2018.08.08 12:00:38;Balance;;;;;;;;;;51.00;
2018.08.08 01:00:50;Balance;;;;;;;;;;-1.35;
2018.08.07 20:00:01;Sell;0.15;GBPCAD;1.68851;;1.68701;2018.08.07 20:07:41;1.68778;-0.62;;8.40;
2018.08.07 18:00:51;Balance;;;;;;;;;;-100.26;
2018.08.07 15:00:48;Balance;;;;;;;;;;50.00;
2018.08.07 14:00:47;Balance;;;;;;;;;;-2000.10;
2018.08.07 11:00:39;Balance;;;;;;;;;;1940.00;
2018.08.03 23:30:15;Sell;0.05;USDSGD;1.36640;;1.36534;2018.08.07 10:03:03;1.36612;-0.16;-0.12;1.02;
2018.08.06 13:45:04;Sell;0.05;USDSGD;1.36819;;1.36534;2018.08.07 10:03:02;1.36612;-0.16;-0.06;7.58;
2018.08.06 11:00:35;Balance;;;;;;;;;;-50.16;
2018.08.06 09:00:31;Balance;;;;;;;;;;10.00;
2018.08.06 01:30:06;Sell;0.14;EURCAD;1.50529;;1.50379;2018.08.06 03:30:07;1.50418;-0.52;;11.95;
2018.08.06 01:02:00;Balance;;;;;;;;;;52.05;
2018.08.03 22:39:46;Buy;0.14;EURCAD;1.50215;;1.50365;2018.08.06 00:00:20;1.50305;-0.52;-1.03;9.70;
2018.08.03 18:00:56;Balance;;;;;;;;;;91.00;
2018.08.03 17:00:51;Balance;;;;;;;;;;120.00;
2018.08.03 10:00:55;Balance;;;;;;;;;;10.00;
2018.08.03 01:01:04;Balance;;;;;;;;;;-0.86;
2018.08.02 20:02:25;Buy;0.15;GBPCAD;1.69349;;1.69499;2018.08.02 20:26:13;1.69412;-0.63;;7.26;
2018.08.02 20:00:38;Balance;;;;;;;;;;57.27;
2018.07.31 22:49:55;Buy;0.12;AUDNZD;1.08904;;1.09154;2018.08.02 16:59:01;1.09155;-0.29;-1.40;20.34;[tp]
2018.08.02 15:00:39;Balance;;;;;;;;;;50.00;
2018.08.02 12:00:45;Balance;;;;;;;;;;-1.88;
2018.08.02 11:00:33;Balance;;;;;;;;;;-50.10;
2018.08.02 01:00:51;Balance;;;;;;;;;;-1.12;
2018.08.01 23:00:34;Balance;;;;;;;;;;51.00;
2018.08.01 01:00:53;Balance;;;;;;;;;;-0.23;
2018.07.31 20:13:05;Buy;0.15;GBPCAD;1.70676;;1.70826;2018.07.31 23:03:00;1.70737;-0.63;;7.03;
2018.07.31 10:00:44;Balance;;;;;;;;;;50.00;
2018.07.31 01:00:52;Balance;;;;;;;;;;-0.38;
2018.07.30 18:00:36;Balance;;;;;;;;;;-54.69;
2018.07.30 14:00:55;Balance;;;;;;;;;;50.00;
2018.07.30 01:02:06;Balance;;;;;;;;;;-5.77;
2018.07.27 19:00:33;Balance;;;;;;;;;;-10.01;
2018.07.27 11:24:44;Buy;0.14;EURCAD;1.51986;;1.52245;2018.07.27 16:13:24;1.52173;-0.52;;20.04;
2018.07.26 21:00:24;Buy;0.14;EURCAD;1.52263;;1.52245;2018.07.27 16:13:24;1.52171;-0.52;-1.14;-9.85;
2018.07.27 16:00:29;Balance;;;;;;;;;;17.00;
2018.07.26 22:36:10;Sell;0.05;USDSGD;1.36388;;1.36188;2018.07.27 05:57:39;1.36267;-0.16;-0.21;4.44;
2018.07.27 01:00:46;Balance;;;;;;;;;;-0.87;
2018.07.26 23:00:28;Balance;;;;;;;;;;-50.36;
2018.07.26 20:50:25;Buy;0.15;GBPCAD;1.71446;;1.71596;2018.07.26 20:54:42;1.71498;-0.63;;5.97;
2018.07.26 20:00:17;Buy;0.15;GBPCAD;1.71491;;1.71641;2018.07.26 20:12:06;1.71552;-0.63;;7.00;
2018.07.25 20:45:12;Sell;0.04;NZDUSD;0.68272;;0.68084;2018.07.26 15:55:10;0.68084;-0.09;-0.04;7.52;[tp]
2018.07.26 08:46:46;Sell;0.06;EURCHF;1.16353;;1.16175;2018.07.26 15:00:26;1.16209;-0.23;;8.71;
2018.07.25 23:00:15;Sell;0.06;EURCHF;1.16281;;1.16175;2018.07.26 15:00:26;1.16214;-0.23;-0.44;4.05;
2018.07.26 11:00:36;Balance;;;;;;;;;;50.00;
2018.07.26 09:00:30;Balance;;;;;;;;;;-12.01;
2018.07.25 20:30:19;Buy;0.15;GBPCAD;1.72095;;1.72245;2018.07.26 08:42:58;1.72161;-0.63;-2.06;7.59;
2018.07.26 01:00:48;Balance;;;;;;;;;;75.35;
2018.07.25 13:00:45;Balance;;;;;;;;;;1000.00;
2018.07.25 10:00:35;Balance;;;;;;;;;;12.00;
2018.07.25 01:01:07;Balance;;;;;;;;;;-102.37;
2018.07.24 01:01:07;Balance;;;;;;;;;;-2.29;
2018.07.23 22:00:40;Balance;;;;;;;;;;50.00;
2018.07.23 14:00:35;Balance;;;;;;;;;;50.00;
2018.07.23 08:00:37;Balance;;;;;;;;;;-102.52;
2018.07.23 04:37:58;Buy;0.05;USDSGD;1.36016;;1.36216;2018.07.23 05:08:56;1.36143;-0.16;;4.66;
2018.07.23 03:24:39;Buy;0.05;USDSGD;1.36059;;1.36259;2018.07.23 04:13:56;1.36184;-0.16;;4.59;
2018.07.23 02:00:39;Balance;;;;;;;;;;310.00;
2018.07.23 01:02:21;Balance;;;;;;;;;;126.84;
2018.07.20 23:00:36;Balance;;;;;;;;;;90.00;
2018.07.20 15:00:42;Balance;;;;;;;;;;51.00;
2018.07.20 13:00:47;Balance;;;;;;;;;;-50.23;
2018.07.19 20:00:04;Sell;0.14;GBPCAD;1.72436;;1.72286;2018.07.20 10:43:45;1.72374;-0.58;0.20;6.55;
2018.07.19 20:07:29;Sell;0.04;NZDUSD;0.67414;;0.67240;2018.07.20 04:45:01;0.67238;-0.09;-0.10;7.04;[tp]
2018.07.20 01:00:50;Balance;;;;;;;;;;-0.32;
2018.07.19 23:00:24;Balance;;;;;;;;;;500.00;
2018.07.18 20:09:59;Buy;0.14;GBPCAD;1.72224;;1.72374;2018.07.19 17:52:35;1.72286;-0.59;-1.99;6.55;
2018.07.19 09:00:27;Balance;;;;;;;;;;-260.59;
2018.07.19 01:00:50;Balance;;;;;;;;;;-0.74;
2018.07.18 20:00:06;Buy;0.14;GBPCAD;1.72151;;1.72301;2018.07.18 20:09:47;1.72212;-0.59;;6.48;
2018.07.18 19:00:37;Balance;;;;;;;;;;-101.76;
2018.07.18 18:00:50;Balance;;;;;;;;;;36.00;
2018.07.18 12:00:54;Balance;;;;;;;;;;50.00;
2018.07.17 20:44:10;Buy;0.08;GBPCHF;1.31261;;1.31615;2018.07.18 10:11:20;1.31380;-0.34;0.28;9.50;
2018.07.18 09:26:35;Buy;0.08;GBPCHF;1.31169;;1.31615;2018.07.18 10:11:19;1.31379;-0.33;;16.76;
2018.07.18 07:00:26;Balance;;;;;;;;;;-52.75;
2018.07.17 21:13:54;Buy;0.13;EURCAD;1.53841;;1.53991;2018.07.18 03:01:34;1.53906;-0.48;-1.06;6.40;
2018.07.18 01:00:49;Balance;;;;;;;;;;-1.51;
2018.07.17 22:00:29;Balance;;;;;;;;;;101.62;
2018.07.17 20:44:11;Buy;0.14;GBPCAD;1.73307;;1.73457;2018.07.17 20:44:45;1.73375;-0.59;;7.21;
2018.07.17 20:43:00;Buy;0.14;GBPCAD;1.72705;;1.73116;2018.07.17 20:44:01;1.73053;-0.59;;36.91;
2018.07.17 20:27:27;Buy;0.14;GBPCAD;1.73257;;1.73116;2018.07.17 20:44:01;1.73051;-0.59;;-21.85;
2018.07.17 18:31:30;Sell;0.06;EURCHF;1.16654;;1.16504;2018.07.17 19:12:49;1.16504;-0.22;;9.00;[tp]
2018.07.17 11:00:33;Balance;;;;;;;;;;-202.54;
2018.07.17 10:00:33;Balance;;;;;;;;;;-10.01;
2018.07.17 09:00:43;Balance;;;;;;;;;;-50.43;
2018.07.17 01:01:07;Balance;;;;;;;;;;-1.96;
2018.07.16 19:00:42;Balance;;;;;;;;;;35.86;
2018.07.16 15:00:41;Balance;;;;;;;;;;-60.18;
2018.07.16 14:00:42;Balance;;;;;;;;;;290.00;
2018.07.16 10:00:43;Balance;;;;;;;;;;50.00;
2018.07.13 10:19:27;Buy;0.04;NZDUSD;0.67484;;0.67835;2018.07.16 09:48:27;0.67838;-0.09;;14.16;[tp]
2018.07.11 20:03:36;Buy;0.04;NZDUSD;0.67725;;0.67835;2018.07.16 09:48:27;0.67838;-0.09;-0.12;4.52;[tp]
2018.07.16 01:01:37;Balance;;;;;;;;;;84.22;
2018.07.13 20:03:08;Sell;0.14;GBPCAD;1.74047;;1.73897;2018.07.13 20:45:24;1.73989;-0.59;;6.17;
2018.07.13 10:16:36;Buy;0.13;EURCAD;1.53282;;1.53543;2018.07.13 13:08:01;1.53469;-0.48;;18.43;
2018.07.12 23:26:02;Buy;0.13;EURCAD;1.53563;;1.53543;2018.07.13 13:08:01;1.53469;-0.49;-0.94;-9.26;
2018.07.13 01:00:51;Balance;;;;;;;;;;-0.19;
2018.07.11 00:42:12;Buy;0.11;AUDNZD;1.09010;;1.09260;2018.07.12 14:59:14;1.09260;-0.26;;18.59;[tp]
2018.07.11 22:21:07;Sell;0.13;EURCAD;1.54153;;1.54003;2018.07.12 10:52:04;1.54093;-0.49;1.61;5.92;
2018.07.12 10:00:34;Balance;;;;;;;;;;50.00;
2018.07.12 03:01:01;Balance;;;;;;;;;;-0.36;
2018.07.11 22:00:37;Balance;;;;;;;;;;-1051.42;
2018.07.11 21:16:43;Sell;0.14;GBPCAD;1.74411;;1.74261;2018.07.11 21:26:41;1.74351;-0.59;;6.37;
2018.07.11 02:20:44;Sell;0.05;USDSGD;1.35875;;1.35766;2018.07.11 10:58:23;1.35846;-0.16;;1.07;
2018.07.11 03:57:39;Sell;0.05;USDSGD;1.36049;;1.35766;2018.07.11 10:58:22;1.35844;-0.16;;7.55;
2018.07.11 01:00:47;Balance;;;;;;;;;;73.64;
2018.07.10 19:00:39;Balance;;;;;;;;;;500.00;
2018.07.10 03:15:08;Buy;0.05;USDSGD;1.35455;;1.35655;2018.07.10 11:36:03;1.35578;-0.16;;4.54;
2018.07.09 20:41:01;Sell;0.08;GBPCHF;1.31429;;1.31029;2018.07.10 09:19:42;1.31265;-0.34;-0.54;13.22;
2018.07.10 07:00:25;Balance;;;;;;;;;;58.00;
2018.07.10 01:00:53;Balance;;;;;;;;;;-0.07;
2018.07.09 20:00:45;Balance;;;;;;;;;;838.00;
2018.07.09 19:00:42;Balance;;;;;;;;;;50.00;
2018.07.09 06:00:26;Balance;;;;;;;;;;296.00;
2018.07.09 00:15:00;Sell;0.08;GBPAUD;1.79104;;1.78804;2018.07.09 02:48:17;1.78799;-0.34;;18.15;[tp]
2018.07.09 01:01:31;Balance;;;;;;;;;;-367.54;
2018.07.06 23:33:22;Sell;0.13;GBPCAD;1.74037;;1.73887;2018.07.06 23:46:22;1.73956;-0.55;;8.05;
2018.07.06 02:00:34;Balance;;;;;;;;;;-51.07;
2018.07.06 01:00:53;Balance;;;;;;;;;;-5.61;
2018.07.05 04:00:13;Sell;0.05;USDSGD;1.36611;;1.36411;2018.07.05 09:40:47;1.36411;-0.16;;7.33;[tp]
2018.07.05 01:01:08;Balance;;;;;;;;;;145.97;
2018.07.04 23:00:39;Balance;;;;;;;;;;50.00;
2018.07.04 22:00:48;Balance;;;;;;;;;;-50.44;
2018.07.04 01:01:22;Balance;;;;;;;;;;-532.65;
2018.07.03 21:59:03;Buy;0.13;EURCAD;1.53135;;1.53285;2018.07.04 00:06:01;1.53198;-0.48;-0.80;6.24;
2018.07.03 22:00:33;Balance;;;;;;;;;;50.00;
2018.07.03 19:00:49;Balance;;;;;;;;;;150.00;
2018.07.03 08:36:45;Sell;0.06;EURCHF;1.15758;;1.15572;2018.07.03 16:47:18;1.15606;-0.22;;9.19;
2018.07.02 23:30:05;Sell;0.06;EURCHF;1.15671;;1.15572;2018.07.03 16:47:18;1.15611;-0.22;-0.14;3.63;
2018.07.03 13:00:38;Balance;;;;;;;;;;75.00;
2018.07.02 08:07:36;Sell;0.05;USDSGD;1.36584;;1.36886;2018.07.03 09:12:27;1.36961;-0.16;-0.21;-13.76;
2018.07.02 03:45:17;Sell;0.05;USDSGD;1.36389;;1.36886;2018.07.03 09:12:27;1.36961;-0.16;-0.21;-20.88;
2018.07.02 18:14:21;Sell;0.20;USDSGD;1.37146;;1.36886;2018.07.03 09:12:26;1.36958;-0.64;-0.84;27.45;
2018.07.02 16:19:26;Sell;0.13;USDSGD;1.36962;;1.36886;2018.07.03 09:12:26;1.36957;-0.42;-0.54;0.47;
2018.07.02 10:19:38;Sell;0.10;USDSGD;1.36780;;1.36886;2018.07.03 09:12:26;1.36957;-0.32;-0.42;-12.92;
2018.07.03 04:38:48;Sell;0.33;USDSGD;1.37321;;1.36886;2018.07.03 09:12:25;1.36958;-1.06;;87.46;
2018.07.02 23:16:11;Buy;0.05;USDSGD;1.36918;;1.37118;2018.07.03 04:29:07;1.37118;-0.16;0.05;7.29;[tp]
2018.07.03 02:00:25;Balance;;;;;;;;;;-510.38;
2018.07.03 01:01:24;Balance;;;;;;;;;;9.37;
2018.07.02 22:00:36;Balance;;;;;;;;;;-101.32;
2018.07.02 11:00:33;Balance;;;;;;;;;;-152.80;
2018.07.02 01:02:53;Balance;;;;;;;;;;69.53;
2018.06.29 23:00:51;Balance;;;;;;;;;;50.00;
2018.06.29 19:00:54;Balance;;;;;;;;;;-51.74;
2018.06.29 10:00:35;Balance;;;;;;;;;;-100.10;
2018.06.29 08:00:43;Balance;;;;;;;;;;50.00;
