Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2018.09.04 07:44:54;Sell Stop;0.04;GBPAUD;1.77699;1.78013;1.74713;2018.09.04 08:01:39;1.77985;;;;cancelled
2018.09.04 07:44:54;Buy Stop;0.04;GBPAUD;1.78309;1.77994;1.81294;2018.09.04 08:01:39;1.77996;;;;cancelled
2018.09.04 02:01:54;Sell Stop;0.04;GBPAUD;1.78513;1.78842;1.75542;2018.09.04 07:29:52;1.78749;;;;cancelled
2018.09.04 02:01:53;Buy Stop;0.04;GBPAUD;1.79152;1.78835;1.82135;2018.09.04 07:29:52;1.78843;;;;cancelled
2018.09.04 02:05:56;Sell Stop;0.04;AUDJPY;79.767;79.974;78.274;2018.09.04 07:00:44;79.901;;;;cancelled
2018.09.04 01:00:42;Buy Stop;0.04;AUDJPY;80.074;79.867;81.567;2018.09.04 07:00:43;79.906;;;;cancelled
2018.09.04 01:19:52;Sell Stop;0.04;USDJPY;110.873;110.977;107.877;2018.09.04 02:40:44;111.087;;;;cancelled
2018.09.03 22:44:44;Buy Stop;0.04;USDJPY;111.296;111.193;114.293;2018.09.04 02:40:44;111.091;;;;cancelled
2018.09.04 01:00:42;Sell Stop;0.04;AUDJPY;79.963;80.172;78.472;2018.09.04 01:50:34;80.113;;;;expiration
2018.09.03 20:01:40;Sell Stop;0.04;USDJPY;110.862;110.982;107.882;2018.09.04 01:04:46;111.061;;;;expiration
2018.09.03 20:01:40;Buy Stop;0.04;USDJPY;111.329;111.220;114.320;2018.09.03 22:29:43;111.118;;;;expiration
2018.09.03 21:23:51;Buy Stop;0.04;EURUSD;1.16330;1.16124;1.19324;2018.09.03 22:00:41;1.16184;;;;cancelled
2018.09.03 14:00:40;Sell Stop;0.04;EURUSD;1.16041;1.16245;1.13045;2018.09.03 22:00:41;1.16178;;;;cancelled
2018.09.03 14:00:40;Buy Stop;0.04;EURUSD;1.16339;1.16135;1.19335;2018.09.03 21:08:27;1.16188;;;;expiration
2018.09.03 03:00:38;Sell Stop;0.04;USDJPY;110.846;110.950;107.850;2018.09.03 19:46:39;111.039;;;;expiration
2018.09.03 03:00:38;Buy Stop;0.04;USDJPY;111.270;111.166;114.266;2018.09.03 19:46:39;111.043;;;;expiration
2018.09.03 04:45:04;Sell Stop;0.04;GBPAUD;1.79495;1.79812;1.76512;2018.09.03 08:01:32;1.79792;;;;cancelled
2018.09.03 04:45:04;Buy Stop;0.04;GBPAUD;1.80095;1.79781;1.83081;2018.09.03 08:01:32;1.79808;;;;cancelled
2018.09.03 03:00:37;Sell Stop;0.04;AUDJPY;79.548;79.755;78.055;2018.09.03 07:01:33;79.704;;;;cancelled
2018.09.03 03:00:37;Buy Stop;0.04;AUDJPY;79.868;79.661;81.361;2018.09.03 07:01:33;79.708;;;;cancelled
2018.09.03 03:00:35;Sell Stop;0.04;GBPAUD;1.79518;1.79863;1.76563;2018.09.03 04:30:03;1.79781;;;;cancelled
