Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2018.09.03 10:59:59;Sell Stop;0.02;EURUSD;1.15910;1.16264;;2018.09.03 18:30:00;1.16223;;;;expiration
2018.09.03 17:59:00;Buy;0.02;EURUSD;1.16264;1.15910;;2018.09.03 18:30:00;1.16223;-0.11;;-0.82;
2018.09.03 15:05:47;Buy;0.06;USDJPY;111.153;110.975;;2018.09.03 18:30:00;111.056;-0.33;;-5.24;
2018.09.03 04:14:57;Sell;0.06;USDJPY;110.971;111.154;;2018.09.03 15:05:47;111.154;-0.33;;-9.88;[sl]
2018.08.31 22:07:51;Balance;;;;;;;;;;-6.54;
2018.08.31 11:49:45;Sell;0.05;EURUSD;1.16726;1.16899;;2018.08.31 18:30:00;1.16074;-0.28;;32.60;
2018.08.31 10:16:55;Sell;0.07;USDJPY;110.885;111.019;;2018.08.31 18:30:00;110.845;-0.39;;2.53;
2018.08.31 11:01:49;Buy;0.05;EURUSD;1.16899;1.16726;;2018.08.31 11:49:45;1.16726;-0.28;;-8.65;[sl]
2018.08.31 04:13:10;Buy;0.07;USDJPY;111.019;110.880;;2018.08.31 10:16:55;110.885;-0.39;;-8.46;[sl]
2018.08.30 11:04:28;Sell;0.04;EURUSD;1.16967;1.17184;;2018.08.30 18:30:00;1.16467;-0.22;;20.00;
2018.08.30 10:59:59;Buy Stop;0.04;EURUSD;1.17183;1.16968;;2018.08.30 18:30:00;1.16468;;;;expiration
2018.08.29 16:57:50;Buy;0.04;EURUSD;1.16866;1.16656;;2018.08.29 18:30:01;1.16955;-0.22;;3.56;
2018.08.29 11:00:02;Sell;0.04;EURUSD;1.16657;1.16866;;2018.08.29 16:57:50;1.16866;-0.22;;-8.36;[sl]
2018.08.29 08:57:36;Sell;0.07;USDJPY;111.133;111.276;;2018.08.29 14:42:53;111.276;-0.39;;-9.00;[sl]
2018.08.29 04:14:36;Buy;0.07;USDJPY;111.275;111.133;;2018.08.29 08:57:36;111.133;-0.39;;-8.94;[sl]
2018.08.28 11:48:22;Buy;0.04;EURUSD;1.16999;1.16792;;2018.08.28 18:30:02;1.17157;-0.22;;6.32;
