Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.21 03:40:56;Buy;0.07;GBPUSD;1.29297;1.29300;1.30297;2019.11.21 04:57:51;1.29300;-0.36;;0.21;[sl]
2019.11.20 17:20:11;Buy Stop;0.07;GBPUSD;1.29297;1.28797;1.30297;2019.11.21 00:59:27;1.29278;;;;cancelled
2019.11.20 16:28:02;Buy;0.07;GBPUSD;1.29209;1.29268;1.30209;2019.11.20 17:05:44;1.29268;-0.36;;4.13;[sl]
2019.11.20 16:12:30;Buy;0.07;GBPUSD;1.29153;1.29226;1.30153;2019.11.20 16:29:01;1.29226;-0.36;;5.11;[sl]
2019.11.19 21:20:24;Sell;0.07;GBPUSD;1.29144;1.29122;1.28144;2019.11.19 21:21:30;1.29122;-0.36;;1.54;[sl]
2019.11.19 00:17:07;Sell Stop;0.08;GBPUSD;1.29144;1.29644;1.28144;2019.11.19 17:10:22;1.29502;;;;cancelled
2019.11.19 11:41:43;Buy Stop;0.08;GBPUSD;1.29706;1.29206;1.30706;2019.11.19 17:10:21;1.29508;;;;cancelled
2019.11.19 00:04:10;Sell;0.08;GBPUSD;1.29239;1.29739;1.28239;2019.11.19 00:04:11;1.29845;-0.41;;-48.48;
2019.11.19 00:04:08;Buy;0.08;GBPUSD;1.29855;1.29355;1.30855;2019.11.19 00:04:10;1.29355;-0.42;;-40.00;[sl]
2019.11.19 00:04:08;Sell;0.08;GBPUSD;1.29442;1.29942;1.28442;2019.11.19 00:04:08;1.30540;-0.41;;-87.84;
2019.11.19 00:04:08;Buy;0.08;GBPUSD;1.30004;1.29504;1.31004;2019.11.19 00:04:08;1.29504;-0.42;;-40.00;[sl]
2019.11.19 00:04:08;Buy;0.08;GBPUSD;1.30131;1.29631;1.31131;2019.11.19 00:04:08;1.29319;-0.42;;-64.96;
2019.11.18 12:04:50;Buy;0.08;GBPUSD;1.29731;1.29817;1.30731;2019.11.18 12:07:56;1.29817;-0.42;;6.88;[sl]
2019.11.18 12:06:40;Buy;0.08;GBPUSD;1.29763;1.29818;1.30763;2019.11.18 12:07:56;1.29818;-0.42;;4.40;[sl]
2019.11.18 01:07:12;Buy;0.08;GBPUSD;1.29200;1.29221;1.30200;2019.11.18 04:07:29;1.29221;-0.41;;1.68;[sl]
2019.11.15 16:10:17;Buy;0.08;GBPUSD;1.29179;1.29200;1.30179;2019.11.18 01:50:05;1.29200;-0.41;-0.52;1.68;[sl]
2019.11.18 01:06:56;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 01:06:58;1.29192;;;;cancelled
2019.11.18 01:06:53;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 01:06:54;1.29192;;;;cancelled
2019.11.18 01:01:43;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 01:06:51;1.29181;;;;cancelled
2019.11.18 00:49:06;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 00:49:07;1.29194;;;;cancelled
2019.11.18 00:49:04;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 00:49:05;1.29194;;;;cancelled
2019.11.18 00:49:01;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 00:49:03;1.29194;;;;cancelled
2019.11.18 00:48:59;Buy Stop;0.08;GBPUSD;1.29200;1.28700;1.30200;2019.11.18 00:49:01;1.29194;;;;cancelled
