Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.01 18:15:01;Buy;0.10;USDJPY;108.076;107.676;108.326;2019.11.04 10:03:38;108.326;-0.40;0.33;23.08;[tp]
2019.10.31 18:15:01;Sell;0.10;USDJPY;108.183;108.583;107.933;2019.10.31 20:31:37;107.933;-0.40;;23.16;[tp]
2019.10.29 18:59:29;Buy;0.30;USDJPY;108.757;108.357;109.007;2019.10.30 21:34:45;109.007;-1.20;1.19;68.80;[tp]
2019.10.29 10:59:42;Buy;0.20;USDJPY;108.852;108.357;109.007;2019.10.30 21:34:45;109.007;-0.80;0.79;28.44;[tp]
2019.10.28 18:15:01;Buy;0.10;USDJPY;108.902;108.357;109.007;2019.10.30 21:34:45;109.007;-0.40;0.80;9.63;[tp]
2019.10.24 15:39:21;Buy;0.30;USDJPY;108.535;108.135;108.785;2019.10.28 03:58:45;108.785;-1.20;2.38;68.94;[tp]
2019.10.24 05:36:26;Buy;0.20;USDJPY;108.585;108.135;108.785;2019.10.28 03:58:45;108.785;-0.80;1.58;36.77;[tp]
2019.10.23 18:15:00;Buy;0.10;USDJPY;108.636;108.135;108.785;2019.10.28 03:58:45;108.785;-0.40;1.99;13.70;[tp]
2019.10.21 18:15:01;Buy;0.10;USDJPY;108.600;107.887;108.537;2019.10.23 13:03:07;108.437;-0.40;0.82;-15.03;
2019.10.22 21:52:19;Buy;0.40;USDJPY;108.445;107.887;108.537;2019.10.23 13:03:06;108.442;-1.60;1.62;-1.11;
2019.10.22 10:39:05;Buy;0.30;USDJPY;108.495;107.887;108.537;2019.10.23 13:03:06;108.437;-1.20;1.22;-16.05;
2019.10.21 18:36:38;Buy;0.20;USDJPY;108.548;107.887;108.537;2019.10.23 13:03:06;108.437;-0.80;1.62;-20.47;
2019.10.23 03:19:43;Buy;0.70;USDJPY;108.287;107.887;108.537;2019.10.23 13:03:05;108.442;-2.80;;100.05;
2019.10.23 03:15:44;Buy;0.60;USDJPY;108.338;107.887;108.537;2019.10.23 13:03:05;108.442;-2.40;;57.54;
2019.10.23 03:05:45;Buy;0.50;USDJPY;108.389;107.887;108.537;2019.10.23 13:03:05;108.442;-2.00;;24.44;
2019.10.18 18:15:02;Sell;0.10;USDJPY;108.567;108.967;108.317;2019.10.21 01:13:08;108.317;-0.40;-0.82;23.08;[tp]
2019.10.17 15:30:48;Buy;0.40;USDJPY;108.628;108.072;108.722;2019.10.17 21:02:56;108.627;-1.60;;-0.37;
2019.10.16 19:17:34;Buy;0.30;USDJPY;108.692;108.072;108.722;2019.10.17 21:02:56;108.627;-1.20;3.64;-17.95;
2019.10.16 18:27:55;Buy;0.20;USDJPY;108.743;108.072;108.722;2019.10.17 21:02:56;108.628;-0.80;2.43;-21.17;
2019.10.16 18:15:01;Buy;0.10;USDJPY;108.793;108.072;108.722;2019.10.17 21:02:56;108.628;-0.40;1.21;-15.19;
2019.10.17 19:00:42;Buy;0.70;USDJPY;108.472;108.072;108.722;2019.10.17 21:02:55;108.628;-2.80;;100.53;
2019.10.17 18:52:32;Buy;0.60;USDJPY;108.527;108.072;108.722;2019.10.17 21:02:55;108.628;-2.40;;55.79;
2019.10.17 16:36:04;Buy;0.50;USDJPY;108.577;108.072;108.722;2019.10.17 21:02:55;108.627;-2.00;;23.01;
2019.10.16 03:36:05;Buy;0.30;USDJPY;108.736;108.232;108.882;2019.10.16 14:26:26;108.794;-1.20;;15.99;
2019.10.15 18:24:34;Buy;0.20;USDJPY;108.795;108.232;108.882;2019.10.16 14:26:26;108.795;-0.80;0.79;0.00;
2019.10.15 18:15:01;Buy;0.10;USDJPY;108.845;108.232;108.882;2019.10.16 14:26:26;108.795;-0.40;0.39;-4.60;
2019.10.16 03:39:35;Buy;0.50;USDJPY;108.632;108.232;108.882;2019.10.16 14:26:25;108.794;-2.00;;74.45;
2019.10.16 03:36:14;Buy;0.40;USDJPY;108.683;108.232;108.882;2019.10.16 14:26:25;108.794;-1.60;;40.81;
2019.10.14 19:26:15;Buy;0.20;USDJPY;108.390;107.786;108.436;2019.10.15 14:50:41;108.335;-0.80;0.79;-10.15;
2019.10.14 18:15:01;Buy;0.10;USDJPY;108.440;107.786;108.436;2019.10.15 14:50:41;108.335;-0.40;0.40;-9.69;
2019.10.15 12:32:20;Buy;0.50;USDJPY;108.236;107.786;108.436;2019.10.15 14:50:40;108.335;-2.00;;45.69;
2019.10.15 06:26:49;Buy;0.40;USDJPY;108.286;107.786;108.436;2019.10.15 14:50:40;108.335;-1.60;;18.09;
2019.10.14 21:58:48;Buy;0.30;USDJPY;108.340;107.786;108.436;2019.10.15 14:50:40;108.335;-1.20;1.19;-1.38;
2019.10.15 13:29:49;Buy;0.60;USDJPY;108.186;107.786;108.436;2019.10.15 14:50:39;108.335;-2.40;;82.52;
2019.10.11 19:15:32;Buy;0.20;USDJPY;108.409;107.681;108.331;2019.10.14 15:02:43;108.240;-0.80;0.79;-31.23;
2019.10.11 18:15:04;Buy;0.10;USDJPY;108.460;107.681;108.331;2019.10.14 15:02:43;108.246;-0.40;0.40;-19.77;
2019.10.14 03:48:58;Buy;0.40;USDJPY;108.292;107.681;108.331;2019.10.14 15:02:42;108.240;-1.60;;-19.22;
2019.10.11 19:32:04;Buy;0.30;USDJPY;108.345;107.681;108.331;2019.10.14 15:02:42;108.240;-1.20;1.19;-29.10;
2019.10.14 12:20:14;Buy;0.70;USDJPY;108.131;107.681;108.331;2019.10.14 15:02:41;108.243;-2.80;;72.43;
2019.10.14 09:54:08;Buy;0.60;USDJPY;108.187;107.681;108.331;2019.10.14 15:02:41;108.239;-2.40;;28.83;
2019.10.14 03:53:32;Buy;0.50;USDJPY;108.239;107.681;108.331;2019.10.14 15:02:41;108.239;-2.00;;0.00;
2019.10.14 12:20:25;Buy;0.80;USDJPY;108.081;107.681;108.331;2019.10.14 15:02:40;108.243;-3.20;;119.73;
2019.10.10 19:12:32;Buy;0.30;USDJPY;107.867;107.358;108.008;2019.10.10 21:21:15;107.920;-1.20;;14.73;
2019.10.10 18:49:20;Buy;0.20;USDJPY;107.917;107.358;108.008;2019.10.10 21:21:15;107.920;-0.80;;0.56;
2019.10.10 18:15:00;Buy;0.10;USDJPY;107.967;107.358;108.008;2019.10.10 21:21:15;107.920;-0.40;;-4.36;
2019.10.10 21:08:23;Buy;0.50;USDJPY;107.758;107.358;108.008;2019.10.10 21:21:14;107.922;-2.00;;75.98;
2019.10.10 21:08:03;Buy;0.40;USDJPY;107.812;107.358;108.008;2019.10.10 21:21:14;107.922;-1.60;;40.77;
2019.10.09 18:15:02;Buy;0.10;USDJPY;107.366;106.966;107.616;2019.10.09 20:00:50;107.616;-0.40;;23.23;[tp]
2019.10.08 21:57:34;Buy;0.30;USDJPY;107.022;106.572;107.222;2019.10.08 22:00:27;107.152;-1.20;;36.40;
2019.10.08 18:26:03;Buy;0.20;USDJPY;107.078;106.572;107.222;2019.10.08 22:00:27;107.161;-0.80;;15.49;
2019.10.08 18:15:00;Buy;0.10;USDJPY;107.128;106.572;107.222;2019.10.08 22:00:27;107.161;-0.40;;3.08;
2019.10.08 21:57:41;Buy;0.40;USDJPY;106.948;106.572;107.222;2019.10.08 22:00:26;107.152;-1.60;;76.15;
2019.10.04 18:15:01;Sell;0.10;USDJPY;106.836;107.863;107.213;2019.10.08 01:07:48;107.227;-0.40;-1.83;-36.46;
2019.10.07 18:49:19;Sell;0.50;USDJPY;107.041;107.863;107.213;2019.10.08 01:07:47;107.226;-2.00;-4.57;-86.27;
2019.10.07 17:21:22;Sell;0.40;USDJPY;106.989;107.863;107.213;2019.10.08 01:07:47;107.226;-1.60;-3.65;-88.41;
2019.10.07 10:23:39;Sell;0.30;USDJPY;106.939;107.863;107.213;2019.10.08 01:07:47;107.226;-1.20;-2.74;-80.30;
2019.10.04 18:21:10;Sell;0.20;USDJPY;106.889;107.863;107.213;2019.10.08 01:07:47;107.226;-0.80;-3.66;-62.86;
2019.10.07 20:32:46;Sell;0.80;USDJPY;107.229;107.863;107.213;2019.10.08 01:07:46;107.226;-3.20;-7.31;2.24;
2019.10.07 19:32:26;Sell;0.70;USDJPY;107.141;107.863;107.213;2019.10.08 01:07:46;107.226;-2.80;-6.40;-55.49;
2019.10.07 19:11:10;Sell;0.60;USDJPY;107.091;107.863;107.213;2019.10.08 01:07:46;107.226;-2.40;-5.48;-75.54;
2019.10.07 20:33:13;Sell;1.10;USDJPY;107.413;107.863;107.213;2019.10.08 01:07:45;107.226;-4.40;-10.05;191.84;
2019.10.07 20:33:03;Sell;1.00;USDJPY;107.341;107.863;107.213;2019.10.08 01:07:45;107.226;-4.00;-9.14;107.25;
2019.10.07 20:32:56;Sell;0.90;USDJPY;107.282;107.863;107.213;2019.10.08 01:07:45;107.226;-3.60;-8.22;47.00;
2019.10.07 20:34:22;Sell;1.20;USDJPY;107.463;107.863;107.213;2019.10.08 01:07:44;107.226;-4.80;-10.96;265.23;
2019.10.03 18:15:00;Sell;0.10;USDJPY;106.792;107.298;106.648;2019.10.04 14:28:40;106.652;-0.40;-0.92;13.13;
2019.10.03 18:19:11;Sell;0.30;USDJPY;106.921;107.298;106.648;2019.10.04 14:28:39;106.651;-1.20;-2.75;75.95;
2019.10.03 18:18:06;Sell;0.20;USDJPY;106.843;107.298;106.648;2019.10.04 14:28:39;106.651;-0.80;-1.83;36.01;
