Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.20 18:42:01;Buy;0.01;NZDUSD;0.64131;;0.64306;2019.11.21 12:22:05;0.64306;;-0.08;1.75;[tp]
2019.11.20 16:57:01;Buy;0.01;NZDUSD;0.64340;;0.64306;2019.11.21 12:22:05;0.64306;;-0.08;-0.34;[tp]
2019.11.19 02:53:09;Buy;0.01;EURUSD;1.10703;;1.10874;2019.11.21 11:00:33;1.10874;;-0.39;1.71;[tp]
2019.11.18 18:17:05;Buy;0.01;EURUSD;1.10905;;1.10874;2019.11.21 11:00:33;1.10874;;-0.49;-0.31;[tp]
2019.11.21 03:49:02;Buy;0.01;USDJPY;108.305;;108.585;2019.11.21 07:39:19;108.585;;;2.58;[tp]
2019.11.20 19:57:06;Buy;0.01;USDJPY;108.511;;108.585;2019.11.21 07:39:19;108.585;;0.07;0.68;[tp]
2019.11.20 17:36:06;Buy;0.01;USDJPY;108.729;;108.585;2019.11.21 07:39:19;108.585;;0.07;-1.33;[tp]
2019.11.20 18:40:01;Sell;0.01;AUDUSD;0.67970;;0.67900;2019.11.21 02:58:28;0.67900;;-0.02;0.70;[tp]
2019.11.21 00:33:01;Sell;0.01;USDJPY;108.418;;108.348;2019.11.21 02:58:25;108.348;;;0.65;[tp]
2019.11.20 16:21:02;Sell;0.01;USDJPY;108.592;;108.419;2019.11.21 00:32:06;108.419;;-0.24;1.60;[tp]
2019.11.20 01:09:03;Sell;0.01;USDJPY;108.385;;108.419;2019.11.21 00:32:06;108.419;;-0.24;-0.31;[tp]
2019.11.20 18:57:03;Buy;0.01;USDCAD;1.33154;;1.33224;2019.11.20 19:56:36;1.33224;;;0.53;[tp]
2019.11.20 15:32:02;Buy;0.01;USDCAD;1.32951;;1.33126;2019.11.20 18:56:46;1.33126;;;1.31;[tp]
2019.11.20 12:31:09;Buy;0.01;USDCAD;1.33161;;1.33126;2019.11.20 18:56:46;1.33126;;;-0.26;[tp]
2019.11.19 15:17:03;Sell;0.01;AUDUSD;0.68259;;0.67984;2019.11.20 18:39:21;0.67984;;-0.01;2.75;[tp]
2019.11.19 10:38:02;Sell;0.01;AUDUSD;0.68055;;0.67984;2019.11.20 18:39:21;0.67984;;-0.01;0.71;[tp]
2019.11.19 03:07:02;Sell;0.01;AUDUSD;0.67847;;0.67984;2019.11.20 18:39:21;0.67984;;-0.01;-1.37;[tp]
2019.11.20 01:09:03;Buy;0.02;USDJPY;108.402;;108.722;2019.11.20 17:35:30;108.722;;;5.89;[tp]
2019.11.18 17:29:03;Buy;0.01;USDJPY;108.603;;108.722;2019.11.20 17:35:30;108.722;;0.04;1.09;[tp]
2019.11.18 15:27:02;Buy;0.01;USDJPY;108.813;;108.722;2019.11.20 17:35:30;108.722;;0.04;-0.84;[tp]
2019.11.18 12:03:02;Buy;0.01;USDJPY;109.041;;108.722;2019.11.20 17:35:30;108.722;;0.04;-2.93;[tp]
2019.11.20 10:29:02;Buy;0.01;NZDUSD;0.64157;;0.64328;2019.11.20 16:56:45;0.64328;;;1.71;[tp]
