Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.18 00:05:09;Sell Stop;4.46;EURUSD;1.09891;1.09911;1.08891;2019.11.21 11:00:01;1.10860;;;;cancelled
2019.11.21 02:58:23;Sell;3.57;USDJPY;108.348;108.355;107.348;2019.11.21 04:21:21;108.355;-7.14;;-23.06;[sl]
2019.11.20 11:04:38;Sell;3.57;USDJPY;108.356;108.496;107.356;2019.11.20 14:08:40;108.496;-7.14;;-460.66;[sl]
2019.11.19 18:12:09;Sell;3.57;USDJPY;108.460;108.600;107.460;2019.11.19 18:38:43;108.600;-7.14;;-460.22;[sl]
2019.11.19 02:46:30;Sell;3.57;USDJPY;108.511;108.651;107.511;2019.11.19 04:26:48;108.651;-7.14;;-460.00;[sl]
2019.11.15 04:00:03;Sell Stop;3.57;USDJPY;108.241;108.381;107.241;2019.11.15 18:00:03;108.726;;;;cancelled
2019.11.12 16:00:01;Buy Stop;3.57;USDJPY;109.299;109.159;110.299;2019.11.15 18:00:03;108.728;;;;cancelled
2019.11.11 00:05:01;Buy Stop;3.52;USDJPY;109.492;109.352;110.492;2019.11.15 18:00:03;108.728;;;;cancelled
2019.11.15 05:00:07;Sell Stop;4.46;EURUSD;1.09891;1.09991;1.08891;2019.11.15 18:00:02;1.10507;;;;cancelled
2019.11.14 21:00:01;Sell Stop;4.46;EURUSD;1.09891;1.10391;1.08891;2019.11.15 18:00:01;1.10507;;;;cancelled
2019.11.14 20:30:01;Sell Stop;4.46;EURUSD;1.09891;1.09911;1.08891;2019.11.15 18:00:01;1.10507;;;;cancelled
2019.11.11 00:05:01;Buy Stop;4.40;EURUSD;1.11758;1.11658;1.12758;2019.11.15 18:00:01;1.10508;;;;cancelled
2019.11.11 00:05:01;Buy Stop;4.40;EURUSD;1.10918;1.10818;1.11918;2019.11.15 18:00:01;1.10508;;;;cancelled
2019.11.15 16:05:10;Buy;4.46;EURUSD;1.10434;1.10474;1.11434;2019.11.15 16:57:49;1.10474;-9.85;;178.40;[sl]
2019.11.15 16:05:10;Buy;4.46;EURUSD;1.10434;1.10449;1.11434;2019.11.15 16:05:52;1.10449;-9.85;;66.90;[sl]
2019.11.14 06:04:21;Sell;3.57;USDJPY;108.653;108.572;107.653;2019.11.14 11:46:14;108.572;-7.14;;266.34;[sl]
2019.11.13 11:55:31;Sell;3.57;USDJPY;108.867;108.876;107.867;2019.11.13 15:05:32;108.876;-7.14;;-29.51;[sl]
2019.11.13 02:43:26;Sell;3.57;USDJPY;108.894;109.034;107.894;2019.11.13 04:43:27;109.034;-7.14;;-458.39;[sl]
2019.11.11 00:05:01;Buy Stop;4.40;EURUSD;1.10918;1.10898;1.11918;2019.11.12 14:15:03;1.10122;;;;cancelled
2019.11.11 04:30:55;Sell;3.52;USDJPY;109.078;108.997;108.078;2019.11.11 08:11:46;108.997;-7.04;;261.59;[sl]
2019.11.07 18:00:02;Buy Stop;4.40;EURUSD;1.10918;1.10418;1.11918;2019.11.08 18:00:01;1.10220;;;;cancelled
2019.11.07 18:00:02;Buy Stop;4.40;EURUSD;1.10918;1.10818;1.11918;2019.11.08 18:00:01;1.10220;;;;cancelled
2019.11.07 17:15:01;Buy Stop;4.29;EURUSD;1.10918;1.10898;1.11918;2019.11.08 18:00:01;1.10220;;;;cancelled
2019.11.07 12:00:01;Sell Stop;3.42;USDJPY;108.647;108.787;107.647;2019.11.08 18:00:01;109.145;;;;cancelled
2019.11.04 21:00:05;Buy Stop;4.25;EURUSD;1.11758;1.11658;1.12758;2019.11.08 18:00:01;1.10218;;;;cancelled
2019.11.04 19:00:01;Buy Stop;4.25;EURUSD;1.11758;1.11258;1.12758;2019.11.08 18:00:01;1.10218;;;;cancelled
2019.11.04 00:06:01;Sell Stop;3.40;USDJPY;107.888;108.028;106.888;2019.11.08 18:00:01;109.145;;;;cancelled
2019.11.08 04:00:00;Buy Stop;3.52;USDJPY;109.492;109.352;110.492;2019.11.08 18:00:00;109.148;;;;cancelled
2019.11.07 17:41:16;Buy;3.40;USDJPY;109.246;109.327;110.246;2019.11.07 17:51:28;109.327;-6.80;;251.90;[sl]
2019.11.07 17:03:30;Sell;4.28;EURUSD;1.10549;1.10509;1.09549;2019.11.07 17:31:06;1.10509;-9.46;;171.20;[sl]
2019.11.04 18:30:01;Buy Stop;4.25;EURUSD;1.11758;1.11738;1.12758;2019.11.07 17:15:02;1.10574;;;;cancelled
2019.11.07 17:03:30;Sell;4.28;EURUSD;1.10549;1.10533;1.09549;2019.11.07 17:03:56;1.10533;-9.46;;68.48;[sl]
2019.11.07 03:49:16;Sell;3.40;USDJPY;108.815;108.734;107.815;2019.11.07 04:48:20;108.734;-6.80;;253.28;[sl]
2019.11.05 17:01:58;Sell;4.25;EURUSD;1.10737;1.10697;1.09737;2019.11.05 17:02:37;1.10697;-9.41;;170.00;[sl]
2019.11.05 17:01:06;Sell;4.25;EURUSD;1.10803;1.10763;1.09803;2019.11.05 17:01:28;1.10763;-9.42;;170.00;[sl]
2019.11.05 17:01:06;Sell;4.25;EURUSD;1.10803;1.10783;1.09803;2019.11.05 17:01:16;1.10783;-9.42;;85.00;[sl]
2019.11.04 21:16:22;Sell;4.25;EURUSD;1.11283;1.11243;1.10283;2019.11.05 00:52:30;1.11243;-9.46;19.19;170.00;[sl]
2019.11.04 21:16:22;Sell;4.25;EURUSD;1.11283;1.11243;1.10283;2019.11.05 00:52:30;1.11243;-9.46;19.19;170.00;[sl]
2019.11.04 21:16:22;Sell;4.25;EURUSD;1.11283;1.11303;1.10283;2019.11.04 21:16:28;1.11303;-9.46;;-85.00;[sl]
2019.11.01 17:00:01;Sell Stop;4.25;EURUSD;1.10737;1.10837;1.09737;2019.11.01 18:00:01;1.11654;;;;cancelled
2019.11.01 17:00:01;Sell Stop;4.25;EURUSD;1.10803;1.10903;1.09803;2019.11.01 18:00:01;1.11654;;;;cancelled
2019.11.01 17:00:01;Sell Stop;4.25;EURUSD;1.10803;1.10823;1.09803;2019.11.01 18:00:01;1.11654;;;;cancelled
2019.10.31 04:00:00;Buy Stop;3.40;USDJPY;109.290;109.150;110.290;2019.11.01 14:00:16;108.022;;;;cancelled
2019.10.31 00:05:01;Sell Stop;4.25;EURUSD;1.10803;1.11303;1.09803;2019.11.01 14:00:02;1.11482;;;;cancelled
2019.10.29 19:00:00;Sell Stop;4.25;EURUSD;1.10737;1.10837;1.09737;2019.11.01 14:00:02;1.11482;;;;cancelled
2019.10.29 18:00:01;Sell Stop;4.25;EURUSD;1.10737;1.11237;1.09737;2019.11.01 14:00:02;1.11482;;;;cancelled
2019.10.31 18:00:00;Buy Stop;4.25;EURUSD;1.11760;1.11260;1.12760;2019.11.01 14:00:01;1.11484;;;;cancelled
2019.10.31 17:15:01;Buy Stop;4.25;EURUSD;1.11760;1.11740;1.12760;2019.11.01 14:00:01;1.11484;;;;cancelled
2019.10.31 00:05:01;Sell Stop;4.25;EURUSD;1.10803;1.10903;1.09803;2019.11.01 14:00:01;1.11482;;;;cancelled
2019.10.29 17:30:01;Sell Stop;4.25;EURUSD;1.10737;1.10757;1.09737;2019.11.01 14:00:01;1.11482;;;;cancelled
