Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.13 20:00:02;Buy;0.14;EURUSD;1.09995;;1.10476;2019.11.15 16:58:04;1.10476;;-7.26;67.34;[tp]
2019.11.08 18:00:04;Buy;0.09;EURUSD;1.10222;;1.10476;2019.11.15 16:58:04;1.10476;;-8.21;22.86;[tp]
2019.11.07 18:00:04;Buy;0.06;EURUSD;1.10461;;1.10476;2019.11.15 16:58:04;1.10476;;-6.28;0.90;[tp]
2019.11.05 18:00:05;Buy;0.04;EURUSD;1.10732;;1.10476;2019.11.15 16:58:04;1.10476;;-6.24;-10.24;[tp]
2019.11.05 16:00:03;Buy;0.02;EURUSD;1.10999;;1.10476;2019.11.15 16:58:04;1.10476;;-3.13;-10.46;[tp]
2019.11.05 13:00:00;Buy;0.02;EURUSD;1.11219;;1.10476;2019.11.15 16:58:04;1.10476;;-3.13;-14.86;[tp]
2019.11.04 23:00:02;Buy;0.01;EURUSD;1.11291;;1.10476;2019.11.15 16:58:04;1.10476;;-1.69;-8.15;[tp]
2019.11.13 23:00:05;Sell;0.02;EURUSD;1.10071;;1.09918;2019.11.14 13:10:04;1.09917;;0.39;3.08;[tp]
2019.11.13 23:00:04;Sell;0.02;EURUSD;1.10069;;1.09917;2019.11.14 13:10:04;1.09917;;0.39;3.04;[tp]
2019.11.13 20:00:02;Sell;0.01;EURUSD;1.09988;;1.09918;2019.11.14 13:10:04;1.09917;;0.20;0.71;[tp]
2019.11.13 20:00:01;Sell;0.01;EURUSD;1.09988;;1.09917;2019.11.14 13:10:04;1.09917;;0.20;0.71;[tp]
2019.11.12 18:00:05;Sell;0.01;EURUSD;1.10108;;1.09983;2019.11.13 19:03:31;1.09982;;0.07;1.26;[tp]
2019.11.12 18:00:05;Sell;0.01;EURUSD;1.10108;;1.09983;2019.11.13 19:03:31;1.09982;;0.07;1.26;[tp]
2019.11.12 14:00:03;Sell;0.01;EURUSD;1.10175;;1.10050;2019.11.12 17:40:18;1.10048;;;1.27;[tp]
2019.11.12 14:00:03;Sell;0.01;EURUSD;1.10175;;1.10050;2019.11.12 17:40:18;1.10048;;;1.27;[tp]
2019.11.11 10:00:05;Sell;0.02;EURUSD;1.10303;;1.10148;2019.11.12 13:42:31;1.10147;;0.13;3.12;[tp]
2019.11.11 10:00:04;Sell;0.02;EURUSD;1.10303;;1.10154;2019.11.12 13:42:31;1.10154;;0.13;2.98;[tp]
2019.11.08 22:00:02;Sell;0.01;EURUSD;1.10232;;1.10154;2019.11.12 13:42:31;1.10154;;0.14;0.78;[tp]
2019.11.08 18:00:03;Sell;0.01;EURUSD;1.10213;;1.10148;2019.11.12 13:42:31;1.10147;;0.14;0.66;[tp]
2019.11.08 13:00:05;Sell;0.01;EURUSD;1.10344;;1.10219;2019.11.08 17:03:51;1.10219;;;1.25;[tp]
2019.11.08 13:00:04;Sell;0.01;EURUSD;1.10344;;1.10219;2019.11.08 17:03:51;1.10219;;;1.25;[tp]
2019.11.08 02:00:02;Sell;0.02;EURUSD;1.10521;;1.10373;2019.11.08 12:47:22;1.10371;;;3.00;[tp]
2019.11.08 02:00:01;Sell;0.02;EURUSD;1.10521;;1.10373;2019.11.08 12:47:22;1.10371;;;3.00;[tp]
2019.11.07 18:00:04;Sell;0.01;EURUSD;1.10453;;1.10373;2019.11.08 12:47:22;1.10371;;0.07;0.82;[tp]
2019.11.07 18:00:03;Sell;0.01;EURUSD;1.10453;;1.10373;2019.11.08 12:47:22;1.10371;;0.07;0.82;[tp]
2019.11.07 17:00:05;Sell;0.01;EURUSD;1.10635;;1.10510;2019.11.07 17:30:28;1.10507;;;1.28;[tp]
2019.11.07 17:00:05;Sell;0.01;EURUSD;1.10634;;1.10509;2019.11.07 17:30:28;1.10507;;;1.27;[tp]
2019.11.07 13:00:03;Sell;0.02;EURUSD;1.10880;;1.10645;2019.11.07 16:19:57;1.10645;;;4.70;[tp]
2019.11.07 10:00:10;Sell;0.02;EURUSD;1.10738;;1.10645;2019.11.07 16:19:57;1.10645;;;1.86;[tp]
2019.11.07 05:00:01;Sell;0.01;EURUSD;1.10612;;1.10645;2019.11.07 16:19:57;1.10645;;;-0.33;[tp]
2019.11.07 13:00:04;Sell;0.02;EURUSD;1.10880;;1.10650;2019.11.07 16:18:45;1.10648;;;4.64;[tp]
2019.11.07 10:00:11;Sell;0.02;EURUSD;1.10736;;1.10650;2019.11.07 16:18:45;1.10648;;;1.76;[tp]
2019.11.07 04:00:00;Sell;0.01;EURUSD;1.10642;;1.10650;2019.11.07 16:18:45;1.10648;;;-0.06;[tp]
2019.11.06 19:00:04;Sell;0.01;EURUSD;1.10756;;1.10631;2019.11.07 04:39:14;1.10631;;0.20;1.25;[tp]
2019.11.06 10:00:02;Sell;0.02;EURUSD;1.10793;;1.10645;2019.11.07 03:48:29;1.10645;;0.39;2.96;[tp]
2019.11.05 18:00:04;Sell;0.01;EURUSD;1.10723;;1.10645;2019.11.07 03:48:29;1.10645;;0.27;0.78;[tp]
2019.11.06 11:00:06;Sell;0.02;EURUSD;1.10886;;1.10715;2019.11.06 18:33:35;1.10715;;;3.42;[tp]
2019.11.06 04:00:04;Sell;0.01;EURUSD;1.10748;;1.10715;2019.11.06 18:33:35;1.10715;;;0.33;[tp]
2019.11.05 17:00:03;Sell;0.01;EURUSD;1.10823;;1.10698;2019.11.05 17:02:30;1.10698;;;1.25;[tp]
2019.11.05 16:00:02;Sell;0.01;EURUSD;1.10995;;1.10870;2019.11.05 16:22:14;1.10870;;;1.25;[tp]
2019.11.05 14:00:05;Sell;0.01;EURUSD;1.11167;;1.11042;2019.11.05 15:21:48;1.11042;;;1.25;[tp]
2019.11.05 14:00:04;Sell;0.01;EURUSD;1.11167;;1.11042;2019.11.05 15:21:48;1.11042;;;1.25;[tp]
2019.11.05 10:00:11;Sell;0.02;EURUSD;1.11365;;1.11195;2019.11.05 13:05:19;1.11194;;;3.42;[tp]
2019.11.05 06:00:00;Sell;0.01;EURUSD;1.11229;;1.11195;2019.11.05 13:05:19;1.11194;;;0.35;[tp]
2019.11.05 10:00:12;Sell;0.02;EURUSD;1.11365;;1.11212;2019.11.05 13:01:57;1.11212;;;3.06;[tp]
2019.11.05 09:00:05;Sell;0.01;EURUSD;1.11282;;1.11212;2019.11.05 13:01:57;1.11212;;;0.70;[tp]
2019.11.04 23:00:01;Sell;0.01;EURUSD;1.11283;;1.11158;2019.11.05 05:33:15;1.11158;;0.07;1.25;[tp]
2019.11.04 21:00:05;Sell;0.01;EURUSD;1.11344;;1.11219;2019.11.05 05:30:27;1.11218;;0.07;1.26;[tp]
2019.11.04 19:00:01;Sell;0.01;EURUSD;1.11437;;1.11312;2019.11.04 21:16:17;1.11305;;;1.32;[tp]
2019.11.04 19:00:00;Sell;0.01;EURUSD;1.11438;;1.11313;2019.11.04 21:16:17;1.11305;;;1.33;[tp]
2019.11.01 16:00:09;Sell;0.02;EURUSD;1.11585;;1.11370;2019.11.04 20:36:31;1.11370;;0.13;4.30;[tp]
