Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.14 10:17:02;Sell;0.02;EURAUD;1.61980;1.63140;1.60220;2019.11.21 02:58:28;1.63140;-0.14;0.19;-15.75;[sl]
2019.11.12 03:31:32;Sell;0.02;EURAUD;1.61200;1.63100;;2019.11.21 02:51:23;1.63100;-0.14;0.30;-25.80;[sl]
2019.10.30 17:09:10;Sell;0.02;EURCAD;1.46008;1.47219;1.44674;2019.11.20 12:13:28;1.47219;-0.14;1.65;-18.20;[sl]
2019.10.30 17:09:11;Sell;0.04;GBPCAD;1.69227;1.71035;1.67388;2019.11.18 09:10:10;1.71035;-0.28;0.03;-54.73;[sl]
2019.10.31 14:33:24;Buy;0.04;EURJPY;120.737;119.968;121.804;2019.11.12 21:26:49;119.968;-0.28;-1.23;-28.23;[sl]
2019.10.31 03:25:46;Buy Limit;0.04;CADCHF;0.74823;;;2019.11.08 13:44:58;0.75544;;;;cancelled
2019.11.08 13:41:09;Sell Limit;0.04;EURUSD;1.14893;;;2019.11.08 13:41:18;1.10286;;;;cancelled
2019.10.31 03:30:03;Buy Limit;2.00;US500;3019.56;;;2019.11.07 15:16:46;3088.50;;;;cancelled
2019.11.05 13:25:04;Buy;0.04;EURUSD;1.11198;1.10691;;2019.11.05 17:02:30;1.10691;-0.28;;-20.28;[sl]
2019.10.30 21:36:20;Buy;0.04;EURUSD;1.10934;1.10699;1.12014;2019.11.05 17:02:29;1.10699;-0.28;-2.69;-9.40;[sl]
2019.11.01 03:24:34;Buy;4.00;US500;3038.00;3018.78;;2019.11.05 13:28:40;3084.20;;-7.20;184.80;
2019.11.05 13:12:49;Buy;4.00;EURUSD;1.11188;1.10709;;2019.11.05 13:24:57;1.11202;-28.00;;56.00;
2019.10.31 03:26:18;Sell Limit;0.04;EURAUD;1.62095;;;2019.11.05 13:14:28;1.60715;;;;cancelled
2019.11.05 13:12:15;Buy Limit;4.00;EURUSD;1.11106;;;2019.11.05 13:13:04;1.11188;;;;cancelled
2019.10.30 04:04:36;Sell;0.04;NZDJPY;69.292;70.009;68.136;2019.11.04 09:17:10;70.009;-0.28;-0.71;-26.47;[sl]
2019.10.31 03:23:33;Buy Limit;0.04;GBPUSD;1.28662;;;2019.11.04 03:53:19;1.29343;;;;cancelled
2019.10.30 04:03:35;Sell;0.04;NZDCHF;0.63289;0.63688;0.62533;2019.11.01 17:22:11;0.63688;-0.28;-0.77;-16.17;[sl]
2019.10.30 04:05:32;Sell;0.04;NZDUSD;0.63673;0.64414;0.62759;2019.11.01 04:59:38;0.64414;-0.28;0.05;-29.64;[sl]
2019.10.31 03:26:34;Buy;0.04;EURCHF;1.10297;1.09990;1.11034;2019.10.31 16:58:52;1.09990;-0.28;;-12.45;[sl]
2019.10.30 03:53:32;Sell;0.02;EURCAD;1.45396;1.47201;;2019.10.31 12:09:41;1.47201;-0.14;0.23;-27.40;[sl]
2019.10.31 03:30:03;Buy Limit;2.00;US500;2978.28;;;2019.10.31 03:30:11;3050.50;;;;cancelled
2019.10.30 04:08:15;Buy Limit;0.04;USDJPY;108.672;;;2019.10.31 03:23:52;108.834;;;;cancelled
2019.10.30 04:06:14;Buy Limit;1.00;US500;3020.02;;;2019.10.30 04:06:20;3037.40;;;;cancelled
2019.10.30 03:58:39;Sell Limit;0.02;GBPCAD;1.69090;;;2019.10.30 03:59:12;1.68357;;;;cancelled
2019.10.07 03:26:28;Buy Limit;0.04;XAUUSD;1479.19;;;2019.10.10 18:33:24;1495.12;;;;cancelled
2019.10.01 03:51:56;Buy Limit;0.04;USDCHF;0.98946;;;2019.10.10 18:32:58;0.99621;;;;cancelled
2019.10.10 04:38:23;Sell;0.04;AUDJPY;72.621;73.394;71.217;2019.10.10 18:32:51;73.025;-0.28;;-14.97;
2019.10.01 18:43:10;Buy;0.04;USDCHF;0.99356;0.98384;1.00204;2019.10.10 18:32:47;0.99621;-0.28;2.55;10.64;
2019.10.01 07:30:38;Buy;0.04;EURAUD;1.60939;1.58960;1.64187;2019.10.10 18:32:43;1.62704;-0.28;-2.93;47.76;
2019.10.08 09:45:41;Buy;0.04;GBPCAD;1.63368;1.61840;1.64517;2019.10.10 18:26:26;1.63497;-0.28;-1.08;3.89;
2019.10.02 15:15:04;Buy;0.04;USDJPY;107.493;106.484;108.392;2019.10.10 18:25:48;107.944;-0.28;1.72;16.71;
2019.10.04 10:04:12;Buy Limit;2.00;US500;2874.58;2853.47;;2019.10.10 18:23:14;2947.10;;;;cancelled
2019.10.10 01:27:20;Buy;4.00;US500;2887.84;2853.47;2937.20;2019.10.10 16:57:42;2937.20;;;197.44;[tp]
2019.08.27 03:30:37;Buy Limit;0.04;GBPNZD;1.89755;;;2019.09.18 17:58:56;1.97203;;;;cancelled
2019.09.05 03:03:54;Buy Limit;0.05;GBPCHF;1.19557;;;2019.09.18 17:58:52;1.24290;;;;cancelled
2019.09.06 12:16:45;Buy;0.04;GBPAUD;1.79912;1.77800;1.82895;2019.09.18 17:58:46;1.82450;-0.28;-1.99;69.46;
2019.09.16 17:41:13;Buy;0.04;EURCHF;1.09228;1.08045;1.10385;2019.09.18 17:58:42;1.10097;-0.28;-0.12;34.91;
2019.09.16 17:55:07;Buy;0.04;EURAUD;1.60426;1.58730;1.62577;2019.09.18 17:58:38;1.61653;-0.28;-0.58;33.58;
2019.09.10 03:54:35;Sell;0.04;EURGBP;0.89484;0.90341;0.88485;2019.09.17 17:53:48;0.88485;-0.28;-0.01;49.89;[tp]
2019.09.06 12:18:29;Buy;0.04;GBPNZD;1.91823;1.89649;1.95131;2019.09.13 13:34:52;1.95131;-0.28;-1.81;84.54;[tp]
2019.09.03 08:50:05;Buy;0.04;GBPAUD;1.78758;1.76899;1.81266;2019.09.13 12:31:58;1.81266;-0.28;-2.36;68.95;[tp]
