Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.08 22:00:00;Sell;0.15;EURUSD.s;1.10233;;1.10183;2019.11.11 02:52:56;1.10183;;0.18;7.50;[tp]
2019.11.08 13:30:00;Sell;0.15;EURUSD.s;1.10297;;1.10247;2019.11.08 16:29:44;1.10247;;;7.50;[tp]
2019.11.08 12:00:00;Sell;0.15;EURUSD.s;1.10380;;1.10330;2019.11.08 13:01:12;1.10330;;;7.50;[tp]
2019.11.07 21:00:01;Sell;0.15;EURUSD.s;1.10453;;1.10403;2019.11.08 11:56:49;1.10403;;0.18;7.50;[tp]
2019.11.07 19:00:01;Sell;0.15;EURUSD.s;1.10443;;1.10393;2019.11.07 19:45:43;1.10393;;;7.50;[tp]
2019.11.07 18:00:00;Sell;0.15;EURUSD.s;1.10461;;1.10411;2019.11.07 18:54:41;1.10411;;;7.50;[tp]
2019.11.07 17:30:00;Sell;0.15;EURUSD.s;1.10527;;1.10477;2019.11.07 17:47:31;1.10477;;;7.50;[tp]
2019.11.07 16:30:02;Sell;0.15;EURUSD.s;1.10652;;1.10602;2019.11.07 17:02:29;1.10602;;;7.50;[tp]
2019.11.07 11:00:03;Sell;0.15;EURUSD.s;1.10827;;1.10655;2019.11.07 16:19:23;1.10655;;;25.80;[tp]
2019.11.07 05:30:01;Sell;0.15;EURUSD.s;1.10582;;1.10655;2019.11.07 16:19:23;1.10655;;;-10.95;[tp]
2019.11.07 05:00:01;Sell;0.15;EURUSD.s;1.10610;;1.10560;2019.11.07 05:21:24;1.10560;;;7.50;[tp]
2019.11.06 21:00:13;Sell;0.15;EURUSD.s;1.10672;;1.10622;2019.11.07 04:39:49;1.10622;;0.54;7.50;[tp]
2019.11.06 19:00:01;Sell;0.15;EURUSD.s;1.10748;;1.10698;2019.11.06 19:19:00;1.10698;;;7.50;[tp]
2019.11.06 04:00:04;Sell;0.15;EURUSD.s;1.10748;;1.10698;2019.11.06 18:43:21;1.10698;;;7.50;[tp]
2019.11.05 14:30:02;Sell;0.15;EURUSD.s;1.11071;;1.11021;2019.11.05 15:22:06;1.11021;;;7.50;[tp]
2019.11.05 14:00:01;Sell;0.15;EURUSD.s;1.11168;;1.11118;2019.11.05 14:09:05;1.11118;;;7.50;[tp]
2019.11.05 13:30:00;Sell;0.15;EURUSD.s;1.11236;;1.11186;2019.11.05 13:56:14;1.11186;;;7.50;[tp]
2019.11.05 06:00:00;Sell;0.15;EURUSD.s;1.11228;;1.11178;2019.11.05 13:05:51;1.11178;;;7.50;[tp]
2019.11.05 01:30:01;Buy;0.15;EURUSD.s;1.11269;;1.11319;2019.11.05 09:05:20;1.11319;;;7.50;[tp]
2019.11.05 05:30:02;Sell;0.15;EURUSD.s;1.11219;;1.11169;2019.11.05 05:33:12;1.11169;;;7.50;[tp]
2019.11.05 02:00:01;Sell;0.15;EURUSD.s;1.11274;;1.11224;2019.11.05 05:19:16;1.11224;;;7.50;[tp]
2019.11.04 21:30:03;Sell;0.15;EURUSD.s;1.11286;;1.11236;2019.11.05 00:52:15;1.11236;;0.18;7.50;[tp]
2019.11.04 21:30:03;Sell;0.15;EURUSD.s;1.11286;;1.11236;2019.11.05 00:52:15;1.11236;;0.18;7.50;[tp]
2019.11.04 21:00:04;Sell;0.15;EURUSD.s;1.11342;;1.11292;2019.11.04 21:16:22;1.11292;;;7.50;[tp]
2019.11.04 21:00:03;Sell;0.15;EURUSD.s;1.11342;;1.11292;2019.11.04 21:16:22;1.11292;;;7.50;[tp]
2019.11.01 15:30:01;Sell;0.15;EURUSD.s;1.11526;;1.11370;2019.11.04 20:36:35;1.11370;;0.18;23.40;[tp]
2019.11.01 15:00:01;Sell;0.15;EURUSD.s;1.11314;;1.11370;2019.11.04 20:36:35;1.11370;;0.18;-8.40;[tp]
2019.11.01 15:30:01;Sell;0.15;EURUSD.s;1.11527;;1.11371;2019.11.04 20:36:30;1.11371;;0.18;23.40;[tp]
2019.11.01 15:00:01;Sell;0.15;EURUSD.s;1.11315;;1.11371;2019.11.04 20:36:30;1.11371;;0.18;-8.40;[tp]
2019.11.01 19:00:03;Buy;0.15;EURUSD.s;1.11687;;1.11737;2019.11.04 09:15:56;1.11737;;-0.95;7.50;[tp]
2019.11.01 18:00:00;Sell;0.15;EURUSD.s;1.11684;;1.11634;2019.11.01 18:30:48;1.11634;;;7.50;[tp]
2019.11.01 17:00:00;Buy;0.15;EURUSD.s;1.11660;;1.11710;2019.11.01 17:25:28;1.11710;;;7.50;[tp]
2019.11.01 16:01:06;Sell;0.15;EURUSD.s;1.11676;;1.11626;2019.11.01 16:04:02;1.11626;;;7.50;[tp]
2019.11.01 12:30:01;Buy;0.15;EURUSD.s;1.11445;;1.11603;2019.11.01 16:01:05;1.11603;;;23.70;[tp]
2019.11.01 04:00:01;Buy;0.15;EURUSD.s;1.11661;;1.11603;2019.11.01 16:01:05;1.11603;;;-8.70;[tp]
2019.10.31 18:00:02;Sell;0.15;EURUSD.s;1.11539;;1.11386;2019.11.01 14:30:18;1.11386;;0.18;22.95;[tp]
2019.10.31 18:00:01;Sell;0.15;EURUSD.s;1.11544;;1.11389;2019.11.01 14:30:18;1.11389;;0.18;23.25;[tp]
2019.10.31 16:30:02;Sell;0.15;EURUSD.s;1.11333;;1.11386;2019.11.01 14:30:18;1.11386;;0.18;-7.95;[tp]
2019.10.31 16:30:01;Sell;0.15;EURUSD.s;1.11333;;1.11389;2019.11.01 14:30:18;1.11389;;0.18;-8.40;[tp]
2019.10.31 18:00:02;Buy;0.15;EURUSD.s;1.11548;;1.11598;2019.11.01 03:37:40;1.11598;;-0.95;7.50;[tp]
2019.10.31 17:00:01;Buy;0.15;EURUSD.s;1.11428;;1.11478;2019.10.31 17:40:53;1.11478;;;7.50;[tp]
2019.10.31 06:00:01;Sell;0.15;EURUSD.s;1.11682;;1.11419;2019.10.31 16:19:34;1.11419;;;39.45;[tp]
2019.10.30 22:30:00;Sell;0.15;EURUSD.s;1.11470;;1.11419;2019.10.31 16:19:34;1.11419;;0.54;7.65;[tp]
2019.10.30 21:00:00;Sell;0.15;EURUSD.s;1.11256;;1.11419;2019.10.31 16:19:34;1.11419;;0.54;-24.45;[tp]
