Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.11 04:13:53;Buy;2.20;USDJPY;109.204;109.054;110.454;2019.11.11 04:43:27;109.054;-15.40;;-302.60;[sl]
2019.11.08 04:00:01;Sell Stop;2.20;USDJPY;109.064;109.214;107.814;2019.11.08 22:00:02;109.159;;;;cancelled
2019.11.08 04:00:01;Sell Stop;2.20;EURUSD;1.10136;1.10286;1.08886;2019.11.08 22:00:01;1.10234;;;;cancelled
2019.11.08 04:00:00;Buy Stop;2.20;USDJPY;109.261;109.111;110.511;2019.11.08 22:00:01;109.160;;;;cancelled
2019.11.08 04:00:00;Buy Stop;2.20;EURUSD;1.10316;1.10166;1.11566;2019.11.08 22:00:00;1.10236;;;;cancelled
2019.11.07 04:00:03;Sell Stop;2.20;USDJPY;109.231;109.381;107.981;2019.11.07 22:00:14;109.309;;;;cancelled
2019.11.07 04:00:01;Sell Stop;2.20;EURUSD;1.10392;1.10542;1.09142;2019.11.07 22:00:14;1.10474;;;;cancelled
2019.11.07 04:00:01;Buy Stop;2.20;EURUSD;1.10572;1.10422;1.11822;2019.11.07 22:00:02;1.10473;;;;cancelled
2019.11.07 04:00:02;Buy Stop;2.20;USDJPY;109.411;109.261;110.661;2019.11.07 22:00:00;109.305;;;;cancelled
2019.11.06 18:45:18;Sell;2.22;USDJPY;108.975;109.017;107.617;2019.11.06 23:44:46;109.017;-15.54;;-85.53;[sl]
2019.11.06 04:00:07;Buy Stop;2.22;USDJPY;109.030;108.880;110.280;2019.11.06 22:00:01;108.942;;;;cancelled
2019.11.06 04:00:05;Sell Stop;2.22;EURUSD;1.10600;1.10750;1.09350;2019.11.06 22:00:01;1.10679;;;;cancelled
2019.11.06 04:00:04;Buy Stop;2.22;EURUSD;1.10781;1.10631;1.12031;2019.11.06 22:00:00;1.10674;;;;cancelled
2019.11.05 19:48:34;Buy Stop;2.22;USDJPY;109.302;109.152;110.552;2019.11.05 22:00:01;109.224;;;;cancelled
2019.11.05 04:00:02;Sell Stop;2.25;EURUSD;1.10580;1.10730;1.09330;2019.11.05 22:00:01;1.10652;;;;cancelled
2019.11.05 04:00:02;Sell Stop;2.25;USDJPY;109.122;109.272;107.872;2019.11.05 22:00:00;109.229;;;;cancelled
2019.11.05 04:00:01;Buy Stop;2.25;EURUSD;1.10760;1.10610;1.12010;2019.11.05 22:00:00;1.10645;;;;cancelled
2019.11.05 18:06:08;Buy;2.27;USDJPY;109.242;109.092;110.492;2019.11.05 19:48:33;109.092;-15.89;;-312.12;[sl]
2019.11.05 17:00:01;Buy;2.25;USDJPY;108.942;108.992;;2019.11.05 17:14:18;108.992;-15.75;;103.22;[sl]
2019.11.04 04:00:01;Sell Stop;2.25;EURUSD;1.11180;1.11330;1.09930;2019.11.04 22:00:01;1.11272;;;;cancelled
2019.11.04 04:00:01;Sell Stop;2.25;USDJPY;108.553;108.703;107.303;2019.11.04 22:00:01;108.637;;;;cancelled
2019.11.04 04:00:00;Buy Stop;2.25;EURUSD;1.11373;1.11223;1.12623;2019.11.04 22:00:00;1.11272;;;;cancelled
2019.11.04 04:00:00;Buy Stop;2.25;USDJPY;108.736;108.586;109.986;2019.11.04 22:00:00;108.637;;;;cancelled
2019.11.01 18:52:03;Sell Stop;2.25;USDJPY;108.175;108.325;106.925;2019.11.01 22:00:01;108.261;;;;cancelled
2019.11.01 17:03:45;Buy Stop;2.30;EURUSD;1.11718;1.11568;1.12968;2019.11.01 22:00:01;1.11633;;;;cancelled
2019.11.01 15:33:07;Sell Stop;2.29;EURUSD;1.11538;1.11688;1.10288;2019.11.01 22:00:01;1.11633;;;;cancelled
2019.11.01 15:33:06;Buy Stop;2.27;USDJPY;108.364;108.214;109.614;2019.11.01 22:00:00;108.263;;;;cancelled
2019.11.01 17:01:07;Sell;2.23;USDJPY;107.994;108.144;106.744;2019.11.01 18:52:03;108.144;-15.61;;-309.31;[sl]
2019.11.01 17:01:06;Buy;2.23;EURUSD;1.11579;1.11629;;2019.11.01 17:03:43;1.11629;-15.61;;111.50;[sl]
2019.11.01 15:30:03;Sell;2.23;EURUSD;1.11435;1.11385;;2019.11.01 15:33:06;1.11385;-15.61;;111.50;[sl]
2019.11.01 15:30:04;Buy;2.23;USDJPY;108.044;108.194;;2019.11.01 15:33:05;108.194;-15.61;;309.17;[sl]
2019.10.31 19:39:09;Sell Stop;2.23;USDJPY;107.909;108.059;106.659;2019.10.31 22:00:01;107.982;;;;cancelled
2019.10.31 04:00:01;Sell Stop;2.24;EURUSD;1.11352;1.11502;1.10102;2019.10.31 22:00:01;1.11452;;;;cancelled
2019.10.31 04:00:00;Buy Stop;2.24;USDJPY;108.072;107.922;109.322;2019.10.31 22:00:01;107.983;;;;cancelled
2019.10.31 04:00:00;Buy Stop;2.24;EURUSD;1.11522;1.11372;1.12772;2019.10.31 22:00:00;1.11452;;;;cancelled
2019.10.31 19:38:35;Sell;2.25;USDJPY;107.988;108.064;106.664;2019.10.31 19:39:08;108.064;-15.75;;-158.24;[sl]
2019.10.31 12:05:09;Sell;2.24;USDJPY;108.442;108.392;;2019.10.31 12:22:42;108.392;-15.68;;103.33;[sl]
2019.10.30 22:17:55;Buy;2.04;EURUSD;1.10999;1.11449;;2019.10.30 22:29:28;1.11449;-14.28;;918.00;[sl]
2019.10.30 22:17:55;Sell;2.00;USDJPY;109.078;108.778;;2019.10.30 22:27:58;108.778;-14.00;;551.58;[sl]
2019.10.30 04:00:00;Buy Stop;2.09;USDJPY;109.260;109.110;110.510;2019.10.30 22:22:30;108.780;;;;cancelled
2019.10.30 21:00:44;Sell;2.09;EURUSD;1.11081;1.10981;;2019.10.30 22:17:49;1.10981;-14.63;;209.00;[sl]
2019.10.29 18:59:14;Sell;2.09;USDJPY;108.836;108.986;107.586;2019.10.30 21:01:03;108.986;-14.63;-17.39;-287.65;[sl]
2019.10.30 10:21:41;Buy;2.09;EURUSD;1.11179;1.11029;1.12429;2019.10.30 15:36:46;1.11029;-14.63;;-313.50;[sl]
2019.10.29 04:00:03;Sell Stop;2.09;EURUSD;1.11016;1.11166;1.09766;2019.10.29 22:00:01;1.11104;;;;cancelled
2019.10.29 04:00:02;Buy Stop;2.09;EURUSD;1.11197;1.11047;1.12447;2019.10.29 22:00:01;1.11109;;;;cancelled
2019.10.29 04:00:00;Buy Stop;2.09;USDJPY;108.913;108.763;110.163;2019.10.29 22:00:00;108.822;;;;cancelled
2019.10.28 04:00:03;Sell Stop;2.09;EURUSD;1.10890;1.11040;1.09640;2019.10.28 22:00:01;1.10976;;;;cancelled
2019.10.28 04:00:03;Sell Stop;2.09;USDJPY;108.906;109.056;107.656;2019.10.28 22:00:01;109.011;;;;cancelled
2019.10.28 04:00:02;Buy Stop;2.09;USDJPY;109.090;108.940;110.340;2019.10.28 22:00:01;109.012;;;;cancelled
2019.10.28 04:00:02;Buy Stop;2.09;EURUSD;1.11070;1.10920;1.12320;2019.10.28 22:00:00;1.10976;;;;cancelled
2019.10.25 04:00:01;Sell Stop;2.09;USDJPY;108.601;108.751;107.351;2019.10.25 22:00:01;108.683;;;;cancelled
2019.10.25 04:00:01;Sell Stop;2.09;EURUSD;1.10714;1.10864;1.09464;2019.10.25 22:00:01;1.10799;;;;cancelled
