Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.08 11:30:01;Buy Stop;100.00;EURUSD;1.10921;1.10892;1.12421;2019.11.08 14:00:01;1.10300;;;;cancelled
2019.11.08 09:00:04;Buy Stop;100.00;EURUSD;1.10919;1.10892;1.12419;2019.11.08 11:30:00;1.10468;;;;cancelled
2019.11.08 06:30:02;Buy Stop;100.00;EURUSD;1.10920;1.10892;1.12420;2019.11.08 09:00:01;1.10526;;;;cancelled
2019.11.08 04:00:02;Buy Stop;100.00;EURUSD;1.10920;1.10892;1.12420;2019.11.08 06:30:01;1.10513;;;;cancelled
2019.11.07 22:00:01;Buy Stop;100.00;EURUSD;1.10920;1.10892;1.12420;2019.11.07 23:00:01;1.10470;;;;cancelled
2019.11.07 19:30:06;Buy Stop;100.00;EURUSD;1.10920;1.10892;1.12420;2019.11.07 22:00:00;1.10477;;;;cancelled
2019.11.07 17:00:01;Buy Stop;100.00;EURUSD;1.10919;1.10892;1.12419;2019.11.07 19:30:00;1.10463;;;;cancelled
2019.11.07 17:03:16;Sell;100.00;EURUSD;1.10548;1.10563;1.09048;2019.11.07 17:04:27;1.10551;;;-300.00;
2019.11.07 12:30:01;Sell Stop;100.00;EURUSD;1.10548;1.10577;1.09048;2019.11.07 15:00:02;1.10758;;;;cancelled
2019.11.05 16:00:02;Sell Stop;100.00;EURUSD;1.10798;1.10825;1.09298;2019.11.05 17:00:13;1.10811;;;;cancelled
2019.11.05 13:30:02;Sell Stop;100.00;EURUSD;1.10798;1.10827;1.09298;2019.11.05 16:00:01;1.10991;;;;cancelled
2019.11.05 11:03:39;Sell Stop;100.00;EURUSD;1.10798;1.10826;1.09298;2019.11.05 13:30:01;1.11234;;;;cancelled
2019.11.05 06:30:03;Sell Stop;100.00;EURUSD;1.10798;1.10827;1.09298;2019.11.05 09:00:06;1.11278;;;;cancelled
2019.11.05 04:07:11;Sell Stop;100.00;EURUSD;1.10798;1.10826;1.09298;2019.11.05 06:30:03;1.11240;;;;cancelled
2019.11.04 21:52:27;Sell Stop;100.00;EURUSD;1.10798;1.10826;1.09298;2019.11.04 23:00:00;1.11278;;;;cancelled
2019.11.04 21:16:21;Sell;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 21:16:28;1.11309;;;-2 800.00;[sl]
2019.11.04 16:30:06;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 19:00:01;1.11431;;;;cancelled
2019.11.04 14:00:03;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 16:30:06;1.11514;;;;cancelled
2019.11.04 11:30:02;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 14:00:01;1.11641;;;;cancelled
2019.11.04 09:00:05;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 11:30:02;1.11602;;;;cancelled
2019.11.04 09:17:34;Buy;100.00;EURUSD;1.11760;1.11732;1.13260;2019.11.04 09:18:00;1.11732;;;-2 800.00;[sl]
2019.11.04 06:30:12;Sell Stop;100.00;EURUSD;1.11281;1.11310;1.09781;2019.11.04 09:00:05;1.11678;;;;cancelled
2019.11.04 06:30:03;Buy Stop;100.00;EURUSD;1.11761;1.11732;1.13261;2019.11.04 09:00:04;1.11690;;;;cancelled
2019.11.04 04:00:05;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.04 06:30:12;1.11695;;;;cancelled
2019.11.04 04:00:04;Buy Stop;100.00;EURUSD;1.11760;1.11732;1.13260;2019.11.04 06:30:03;1.11710;;;;cancelled
2019.11.01 20:00:02;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.01 21:00:00;1.11613;;;;cancelled
2019.11.01 19:30:01;Buy Stop;100.00;EURUSD;1.11761;1.11732;1.13261;2019.11.01 21:00:00;1.11624;;;;cancelled
2019.11.01 17:30:01;Sell Stop;100.00;EURUSD;1.11281;1.11309;1.09781;2019.11.01 20:00:01;1.11676;;;;cancelled
