Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.05 16:33:11;Sell Stop;0.24;EURUSD;1.10632;;;2019.11.05 16:34:29;1.10663;;;;cancelled
2019.11.04 20:02:18;Sell;0.24;EURUSD;1.11249;1.11151;;2019.11.05 16:33:09;1.10649;-2.40;0.01;144.00;
2019.11.04 19:43:48;Buy Stop;0.24;EURUSD;1.11283;;;2019.11.04 20:02:19;1.11252;;;;cancelled
2019.10.30 19:24:01;Sell;0.69;EURUSD;1.11479;;;2019.11.04 19:43:47;1.11268;-6.90;0.10;145.59;
2019.10.30 19:05:56;Sell;0.46;EURUSD;1.11328;;;2019.11.04 18:36:46;1.11346;-4.60;0.06;-8.28;
2019.11.01 14:01:09;Sell;0.93;EURUSD;1.11671;;;2019.11.04 18:36:45;1.11345;-9.30;0.03;303.18;
2019.10.31 01:13:18;Sell;0.92;EURUSD;1.11630;;;2019.11.01 12:36:41;1.11294;-9.20;0.03;309.12;
2019.10.30 18:55:14;Sell;0.23;EURUSD;1.11176;;;2019.11.01 12:36:41;1.11295;-2.30;0.03;-27.37;
2019.10.30 18:55:11;Buy Stop;0.23;EURUSD;1.11211;;;2019.10.30 18:55:15;1.11196;;;;cancelled
2019.10.24 15:02:29;Buy;0.46;EURUSD;1.11023;;;2019.10.30 18:55:10;1.11195;-4.60;-1.60;79.12;
2019.10.30 18:36:27;Buy;0.69;EURUSD;1.10897;;;2019.10.30 18:55:09;1.11191;-6.90;;202.86;
2019.10.23 09:34:09;Buy;0.23;EURUSD;1.11172;;;2019.10.30 10:41:07;1.11265;-2.30;-1.39;21.39;
2019.10.25 14:20:07;Buy;0.69;EURUSD;1.10872;;;2019.10.30 10:41:06;1.11267;-6.90;-1.77;272.55;
2019.10.23 09:34:02;Sell Stop;0.23;EURUSD;1.11135;;;2019.10.23 09:34:09;1.11164;;;;cancelled
2019.10.17 09:35:50;Sell;0.92;EURUSD;1.11207;;;2019.10.23 09:34:00;1.11165;-9.20;0.12;38.64;
2019.10.18 11:10:18;Sell;1.15;EURUSD;1.11357;;;2019.10.23 09:33:59;1.11162;-11.50;0.09;224.25;
2019.10.17 09:32:27;Sell;0.69;EURUSD;1.11056;;;2019.10.22 18:32:44;1.11241;-6.90;0.06;-127.65;
2019.10.18 13:09:50;Sell;1.38;EURUSD;1.11519;;;2019.10.22 18:32:43;1.11235;-13.80;0.08;391.92;
2019.10.18 20:52:17;Sell;1.61;EURUSD;1.11672;;;2019.10.22 08:24:27;1.11374;-16.10;0.10;479.78;
2019.10.17 08:38:49;Sell;0.46;EURUSD;1.10906;;;2019.10.22 08:24:27;1.11373;-4.60;0.03;-214.82;
2019.10.17 02:07:51;Sell;0.23;EURUSD;1.10753;;;2019.10.17 12:16:55;1.11041;-2.30;;-66.24;
2019.10.17 09:38:45;Sell;1.15;EURUSD;1.11344;;;2019.10.17 12:16:54;1.11043;-11.50;;346.15;
2019.10.17 02:05:04;Buy Stop;0.23;EURUSD;1.10788;;;2019.10.17 02:07:51;1.10758;;;;cancelled
2019.10.16 15:31:21;Sell Stop;0.23;EURUSD;1.10622;;;2019.10.17 00:44:28;1.10810;;;;cancelled
2019.10.15 11:59:34;Buy;0.23;EURUSD;1.10044;1.10137;;2019.10.16 15:31:20;1.10654;-2.30;-0.20;140.30;
2019.10.15 11:59:30;Sell Stop;0.23;EURUSD;1.10010;;;2019.10.15 11:59:34;1.10039;;;;cancelled
2019.10.10 07:06:17;Sell;0.66;EURUSD;1.10116;;;2019.10.15 11:59:28;1.10031;-6.60;0.06;56.10;
2019.10.10 09:40:43;Sell;0.88;EURUSD;1.10265;;;2019.10.15 11:59:27;1.10031;-8.80;0.09;205.92;
2019.10.10 06:48:16;Sell;0.44;EURUSD;1.09956;;;2019.10.15 09:35:03;1.10107;-4.40;0.03;-66.44;
2019.10.11 11:13:08;Sell;1.10;EURUSD;1.10415;;;2019.10.15 09:35:02;1.10107;-11.00;0.06;338.80;
2019.10.09 07:23:49;Sell;0.22;EURUSD;1.09802;;;2019.10.11 14:51:39;1.10292;-2.20;0.03;-107.80;
2019.10.11 11:22:04;Sell;1.32;EURUSD;1.10588;;;2019.10.11 14:51:38;1.10291;-13.20;;392.04;
2019.10.09 07:23:39;Buy Stop;0.22;EURUSD;1.09836;;;2019.10.09 07:23:50;1.09806;;;;cancelled
2019.10.08 14:39:46;Buy;0.66;EURUSD;1.09609;;;2019.10.09 07:23:38;1.09814;-6.60;-0.57;135.30;
2019.10.03 17:25:05;Buy;0.44;EURUSD;1.09756;;;2019.10.09 07:18:58;1.09755;-4.40;-1.52;-0.44;
2019.10.08 15:37:36;Buy;0.88;EURUSD;1.09460;;;2019.10.09 07:18:57;1.09760;-8.80;-0.76;264.00;
2019.10.03 14:02:04;Buy;0.22;EURUSD;1.09906;;;2019.10.07 13:57:29;1.09985;-2.20;-0.38;17.38;
2019.10.04 12:34:31;Buy;0.66;EURUSD;1.09610;;;2019.10.07 13:57:28;1.09985;-6.60;-0.57;247.50;
2019.10.03 14:01:40;Sell Stop;0.22;EURUSD;1.09867;;;2019.10.03 14:02:05;1.09904;;;;cancelled
2019.10.02 15:36:31;Buy;0.22;EURUSD;1.09578;;;2019.10.03 14:01:37;1.09884;-2.20;-0.57;67.32;
2019.10.03 06:58:37;Buy;0.44;EURUSD;1.09430;;;2019.10.03 14:01:36;1.09886;-4.40;;200.64;
2019.10.02 15:33:43;Sell Stop;0.22;EURUSD;1.09546;;;2019.10.02 15:36:32;1.09573;;;;cancelled
2019.09.25 16:05:43;Buy;1.26;EURUSD;1.09455;;;2019.10.02 15:33:40;1.09564;-12.60;-7.57;137.34;
2019.09.25 14:33:36;Buy;1.05;EURUSD;1.09596;;;2019.10.02 15:09:50;1.09533;-10.50;-6.31;-66.15;
2019.09.26 16:08:05;Buy;1.47;EURUSD;1.09304;;;2019.10.02 15:09:49;1.09539;-14.70;-5.04;345.45;
2019.09.25 14:15:14;Buy;0.84;EURUSD;1.09747;;;2019.10.02 13:40:19;1.09448;-8.40;-5.05;-251.16;
2019.09.30 11:15:58;Buy;1.68;EURUSD;1.09154;;;2019.10.02 13:40:18;1.09450;-16.80;-2.88;497.28;
2019.09.25 11:34:49;Buy;0.63;EURUSD;1.09899;;;2019.10.01 15:15:36;1.09270;-6.30;-3.25;-396.27;
2019.09.30 12:14:06;Buy;1.89;EURUSD;1.08921;;;2019.10.01 15:15:35;1.09271;-18.90;-1.63;661.50;
2019.09.24 18:14:21;Buy;0.42;EURUSD;1.10040;;;2019.09.27 12:41:24;1.09456;-4.20;-1.80;-245.28;
2019.09.26 19:33:49;Buy;1.68;EURUSD;1.09154;;;2019.09.27 12:41:23;1.09450;-16.80;-1.44;497.28;
2019.09.24 16:42:32;Buy;0.21;EURUSD;1.10189;;;2019.09.26 13:10:30;1.09575;-2.10;-0.72;-128.94;
2019.09.26 09:37:11;Buy;1.47;EURUSD;1.09303;;;2019.09.26 13:10:29;1.09575;-14.70;;399.84;
2019.09.24 16:41:43;Sell Stop;0.21;EURUSD;1.10156;;;2019.09.24 16:42:32;1.10185;;;;cancelled
