Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2019.11.11 00:05:10;Buy;0.22;EURGBP;0.86161;0.85611;0.86169;2019.11.11 04:18:13;0.86169;-1.54;;3.28;[tp]
2019.11.11 00:09:14;Sell;0.22;GBPUSD;1.27904;1.28204;1.27894;2019.11.11 04:13:27;1.27894;-1.54;;3.22;[tp]
2019.11.11 01:13:31;Sell;0.22;AUDUSD;0.68601;0.68901;0.68551;2019.11.11 02:50:42;0.68551;-1.54;;16.05;[tp]
2019.11.11 01:31:38;Sell;0.22;GBPUSD;1.27945;1.28245;1.27935;2019.11.11 02:43:22;1.27935;-1.54;;3.21;[tp]
2019.11.11 00:05:10;Buy;0.22;CADCHF;0.75404;0.75104;0.75414;2019.11.11 02:15:17;0.75414;-1.54;;3.22;[tp]
2019.11.08 23:19:59;Buy;0.22;EURCHF;1.09945;1.09445;1.09955;2019.11.11 00:05:09;1.09955;-1.54;-0.55;3.22;[tp]
2019.11.08 23:17:05;Buy;0.22;EURGBP;0.86203;0.85753;0.86211;2019.11.08 23:41:13;0.86211;-1.54;;3.28;[tp]
2019.11.08 23:10:50;Sell;0.22;GBPUSD;1.27852;1.28152;1.27842;2019.11.08 23:38:11;1.27842;-1.54;;3.21;[tp]
2019.11.08 23:21:51;Buy;0.22;EURGBP;0.86190;0.85740;0.86198;2019.11.08 23:34:24;0.86198;-1.54;;3.28;[tp]
2019.11.08 22:57:19;Buy;0.22;EURGBP;0.86216;0.85766;0.86224;2019.11.08 23:07:31;0.86224;-1.54;;3.28;[tp]
2019.11.08 22:21:34;Sell;0.22;GBPUSD;1.27846;1.28045;1.27820;2019.11.08 22:58:45;1.27820;-1.54;;8.34;[tp]
2019.11.08 22:17:33;Buy;0.22;EURGBP;0.86215;0.85765;0.86223;2019.11.08 22:56:26;0.86223;-1.54;;3.28;[tp]
2019.11.08 22:19:59;Sell;0.22;USDCAD;1.32302;1.32853;1.32289;2019.11.08 22:33:22;1.32289;-1.54;;3.15;[tp]
2019.11.08 22:18:38;Sell;0.22;GBPUSD;1.27845;1.28045;1.27835;2019.11.08 22:20:00;1.27835;-1.54;;3.21;[tp]
2019.11.07 22:16:23;Buy;0.20;USDCHF;0.99521;0.98971;0.99601;2019.11.08 10:36:32;0.99601;-1.40;1.69;23.34;[tp]
2019.11.07 22:18:40;Buy;0.20;USDCHF;0.99510;0.98960;0.99590;2019.11.08 10:35:52;0.99590;-1.40;1.69;23.33;[tp]
2019.11.07 22:20:05;Buy;0.20;USDCHF;0.99490;0.98940;0.99570;2019.11.08 10:28:26;0.99570;-1.40;1.69;23.34;[tp]
2019.11.07 22:20:32;Buy;0.20;USDCHF;0.99480;0.98929;0.99559;2019.11.08 09:59:59;0.99559;-1.40;1.69;23.06;[tp]
2019.11.07 22:20:39;Buy;0.20;USDCHF;0.99468;0.98918;0.99548;2019.11.08 09:59:22;0.99548;-1.40;1.69;23.36;[tp]
